signature_id,distinct_count,cycle_min,cycle_max,signature_hash,value_set_id,value_set_hash,size,representative_m,member_m_list
0,1,1,1,660d27866c015bac,0,4355a46b19d348dc,1,1,1
1,2,4,5,84d5863ad67a5331,1,ab2fafd33682c9e5,1,2,2
2,2,12,14,5625217a1f681f4e,2,228b64f640f3e532,1,3,3
3,4,14,17,a9bd6b124d93883f,3,146078008a4e0500,1,4,4
4,5,14,19,ec5f6eecd1038e36,4,9027ec562e94503b,1,5,5
5,3,30,34,64bacfd28c6f4eb6,5,8d2fe0ae0313a605,1,6,6
6,4,14,19,dbe2eadab9f0afde,6,b7113a55da9a4640,1,7,7
7,12,22,43,69ae6b2177f600dd,7,579f3fed0f19ffc9,1,8,8
8,8,24,43,b9beb38ee9633632,8,9e83f99c0466d606,1,9,9
9,8,66,82,b180062aab9db185,9,5c35861664f1630c,1,10,10
10,5,34,43,ac40f8b2fa096d06,10,e00279ecb958b462,1,11,11
11,8,66,82,15e9e64034fb4792,9,5c35861664f1630c,1,12,12
12,5,34,43,e7b5aebf99c90095,10,e00279ecb958b462,1,13,13
13,8,66,82,a556ffe48f89c6e2,9,5c35861664f1630c,1,14,14
14,4,112,118,7b3c3bdb258a73ca,11,e4b46bd785f23991,1,15,15
15,4,84,94,84daa55a7e14e0d8,12,9fa0ecce81196135,1,16,16
16,4,112,118,c27cdb6412276010,11,e4b46bd785f23991,1,17,17
17,14,150,186,b05473e8d9c8fa4f,13,482a2d1410507013,1,18,18
18,4,76,82,4d17e3601d4256b0,14,a03b9b7be7a1050c,1,19,19
19,3,114,118,71950639effbeb8a,15,431051e08c1e63ba,1,20,20
20,3,112,118,9e2a416b684d4870,16,f3c70dada9b9cd1a,1,21,21
21,14,150,186,20adcd8715ca1583,13,482a2d1410507013,1,22,22
22,5,150,166,b0896f1c0c655b32,17,e0afa835d0934750,1,23,23
23,10,180,206,770f5666626d8b5d,18,0abca86cd181f918,1,24,24
24,10,180,206,cc165151f386fa3f,18,0abca86cd181f918,1,25,25
25,9,184,206,390bff502104fc5f,19,9c1804e9cb5307c0,1,26,26
26,4,172,178,81347d3773c78448,20,18b21a598feb8f50,1,27,27
27,9,184,206,a8a2e4ab7b58416c,19,9c1804e9cb5307c0,1,28,28
28,14,150,186,32dbb741bd0d176e,21,461999db97d3bf14,1,29,29
29,7,198,214,18570b12c722df48,22,dbf377cacc65d846,1,30,30
30,5,150,166,b97732ec8f7ee370,17,e0afa835d0934750,1,31,31
31,9,184,206,5dbafec00ef5b696,19,9c1804e9cb5307c0,1,32,32
32,10,180,206,1735854d7e744ea5,18,0abca86cd181f918,1,33,33
33,9,184,206,9d528b73e08dee28,19,9c1804e9cb5307c0,1,34,34
34,4,144,157,360c38ed5b0c7fe6,23,866642164b715364,1,35,35
35,3,288,302,bed56ba4ee8b4cc1,24,4bb27c046fe0ca4a,1,36,36
36,4,300,314,515032564aca1e0b,25,1a2cdb7b2f4aad34,1,37,37
37,4,172,178,8e9ba9a0d79db8a4,20,18b21a598feb8f50,1,38,38
38,3,288,302,4b779d38898423bc,24,4bb27c046fe0ca4a,1,39,39
39,4,144,157,cf23ced889c7a3f5,23,866642164b715364,1,40,40
40,4,300,314,1feece472f194848,25,1a2cdb7b2f4aad34,1,41,41
41,4,300,314,b8a816f05e409744,25,1a2cdb7b2f4aad34,1,42,42
42,4,300,314,be7724e9f7498050,25,1a2cdb7b2f4aad34,1,43,43
43,4,350,358,832f83c034e1fe0b,26,1655faf48fc698ac,1,44,44
44,4,350,358,d26a28720f849627,26,1655faf48fc698ac,1,45,45
45,3,300,314,5c872c88b33833f7,27,2e41de8a428160dc,1,46,46
46,4,350,358,915f11cf31b50846,26,1655faf48fc698ac,1,47,47
47,4,350,358,6c228d604ce31512,26,1655faf48fc698ac,1,48,48
48,5,198,214,852eccc40d6a9b0d,28,d73ed8020fdf45b2,1,49,49
49,4,350,358,28e1197fcadd2ddf,26,1655faf48fc698ac,1,50,50
50,4,350,358,b03aaefdf4eef127,26,1655faf48fc698ac,1,51,51
51,4,300,314,9c841580b7baa497,25,1a2cdb7b2f4aad34,1,52,52
52,5,420,438,bbee0384bada590a,29,06b537bd3aabd1c9,1,53,53
53,23,418,470,3079a9d27ddf50c9,30,d80236a3d22ddec2,1,54,54
54,15,434,474,44945acb08ebc57a,31,40b4fecbfe46efdc,1,55,55
55,4,300,314,c95e10bf75beb3c5,25,1a2cdb7b2f4aad34,1,56,56
56,4,350,358,246027f8498c8c61,26,1655faf48fc698ac,1,57,57
57,4,350,358,e1b5b8a0614193d5,26,1655faf48fc698ac,1,58,58
58,4,300,314,f09d5a818c6db559,25,1a2cdb7b2f4aad34,1,59,59
59,4,350,358,aff8e2d3fa78011c,26,1655faf48fc698ac,1,60,60
60,20,490,556,0da6038c22cd328b,32,c0d21e9fdac5a58b,1,61,61
61,4,300,314,3f4f86999490556f,25,1a2cdb7b2f4aad34,1,62,62
62,23,490,562,f72143c1f0b7f513,33,fa750f92eadb7cc8,1,63,63
63,4,350,358,dc6af74c0563d79a,26,1655faf48fc698ac,1,64,64
64,4,350,358,7d900231d07cf8d1,26,1655faf48fc698ac,1,65,65
65,4,300,314,7c9ca734ce9a6e4e,25,1a2cdb7b2f4aad34,1,66,66
66,4,350,358,2a4b7ccb896d35fd,26,1655faf48fc698ac,1,67,67
67,7,286,302,cc6bd7dacb5a36ec,34,23ce9996c6d6c53e,1,68,68
68,4,350,358,0c999c4b4aa25129,26,1655faf48fc698ac,1,69,69
69,4,350,358,0de68849babbc5e5,26,1655faf48fc698ac,1,70,70
70,32,550,622,5979d7c345269886,35,56eb4d2b661c0a1e,1,71,71
71,3,300,314,35301ea8c9131fa2,36,a70e6ffc6a189308,1,72,72
72,4,350,358,7e6ede156ee6914b,26,1655faf48fc698ac,1,73,73
73,3,496,502,fddea8041b068d69,37,253bcdbc50e064b2,1,74,74
74,4,350,358,f65a040574909518,26,1655faf48fc698ac,1,75,75
75,59,562,702,74a3950127e0e6c4,38,2d672a95662eb71e,1,76,76
76,3,496,502,c407fec285a48256,37,253bcdbc50e064b2,1,77,77
77,3,496,502,2f1f5b92bb3c0b6f,37,253bcdbc50e064b2,1,78,78
78,12,618,656,fa1ef645a83267c2,39,6e81543e21e19f59,1,79,79
79,6,460,482,feb06e89145900e1,40,5abe702bec0177f5,1,80,80
80,7,546,566,548d18a9cdeca288,41,23de014538a9d867,1,81,81
81,7,546,566,8ae230d5459f3fd3,41,23de014538a9d867,1,82,82
82,3,496,502,951a422c1ef3fb02,37,253bcdbc50e064b2,1,83,83
83,3,496,502,f2b610d7e09e2c61,37,253bcdbc50e064b2,1,84,84
84,4,324,337,69a3c040379fdb4d,42,fec26f630cd53f25,1,85,85
85,3,496,502,36d87b2d09f21236,37,253bcdbc50e064b2,1,86,86
86,3,496,502,a51e2de1f220aba9,37,253bcdbc50e064b2,1,87,87
87,3,656,662,83cdd572a23c6128,43,94e6d49b79aebe21,1,88,88
88,4,720,746,0a8ca3a19ffeb9e1,44,ba671f5d8277d075,1,89,89
89,3,496,502,954e7a131d1885df,37,253bcdbc50e064b2,1,90,90
90,7,546,566,4b9241e746ff0c8b,41,23de014538a9d867,1,91,91
91,3,656,662,fdb013d182bf81c9,43,94e6d49b79aebe21,1,92,92
92,3,656,662,33c2f5103878e5f4,43,94e6d49b79aebe21,1,93,93
93,4,720,746,3108c6cbb8ad0679,44,ba671f5d8277d075,1,94,94
94,3,656,662,e6ee1be816f2e72f,43,94e6d49b79aebe21,1,95,95
95,4,720,746,6d09b7755de135c7,44,ba671f5d8277d075,1,96,96
96,3,762,766,42c2a98ac5f562d0,45,85d1df8cb47124af,1,97,97
97,4,720,746,e638da1304b50453,44,ba671f5d8277d075,1,98,98
98,2,792,808,9fb799b2b53de88f,46,4318519cac9fc7e4,1,99,99
99,2,804,808,dfc161bebdf73f82,47,82931bdc8e5b429a,1,100,100
100,3,762,766,a5988475853518a0,45,85d1df8cb47124af,1,101,101
101,9,810,838,c1043ddcfe0d67c8,48,22b580d333251542,1,102,102
102,9,810,838,3f2d6e463cfe0bc7,48,22b580d333251542,1,103,103
103,9,810,838,e94c23a59d64f634,48,22b580d333251542,1,104,104
104,9,540,566,785eecc3d79ba9ad,49,14cb9e50104e64e3,1,105,105
105,9,810,838,c82d94962177814e,48,22b580d333251542,1,106,106
106,9,810,838,169c4712b3c5e19f,48,22b580d333251542,1,107,107
107,9,810,838,e671e28a8d186af3,48,22b580d333251542,1,108,108
108,7,810,842,24d60bd1e3ee7c51,50,6c3954918563f0f3,1,109,109
109,9,810,838,3014db9c1be88b8b,48,22b580d333251542,1,110,110
110,7,810,842,543a7c3a6a580fdf,50,6c3954918563f0f3,1,111,111
111,9,810,838,9d087850bf1071ad,48,22b580d333251542,1,112,112
112,5,910,934,f382ad9bda831be4,51,c330d9302fceff09,1,113,113
113,9,810,838,855678033556fb82,48,22b580d333251542,1,114,114
114,9,810,838,0ea57f2a86f3b7fe,48,22b580d333251542,1,115,115
115,9,810,838,c1a439eb3d933388,48,22b580d333251542,1,116,116
116,9,810,838,5bc57f8fcabb25a2,48,22b580d333251542,1,117,117
117,6,816,842,8894e83c14a39c78,52,efcc9aa7acbe05bc,1,118,118
118,3,950,958,a3223109e236fc69,53,cb41d3d318bf74a4,1,119,119
119,9,810,838,085533c7ebd8b61c,48,22b580d333251542,1,120,120
120,9,810,838,be24b9b41a83d0b6,48,22b580d333251542,1,121,121
121,6,816,842,17b3465cc6bc37e6,52,efcc9aa7acbe05bc,1,122,122
122,9,810,838,022d8ef51a65c27f,48,22b580d333251542,1,123,123
123,6,820,842,0f5feceef3269312,54,c1ef66d98ddff7d8,1,124,124
124,4,1000,1030,38bdc0614d0012f9,55,a460540a0718e34d,1,125,125
125,9,810,838,ee47396704e6159a,48,22b580d333251542,1,126,126
126,1,1016,1016,702d062fcc1987b3,56,8f1d061e9968f01c,1,127,127
127,9,810,838,67164af2d6bf3d7e,48,22b580d333251542,1,128,128
128,6,816,842,502ac41ba36180a0,52,efcc9aa7acbe05bc,1,129,129
129,7,810,842,1bb2e771b6d2b4e5,50,6c3954918563f0f3,1,130,130
130,9,810,838,e03dd753bdf0dbcd,48,22b580d333251542,1,131,131
131,9,810,838,c682e1f8e64f9d47,48,22b580d333251542,1,132,132
132,9,810,838,3f341bf42e1796ad,48,22b580d333251542,1,133,133
133,2,1072,1074,c0df943762218705,57,007d8399e0be2ba0,1,134,134
134,9,810,842,e384463ba9b6426e,58,32c6a9153c7ededa,1,135,135
135,9,810,842,7aee5ae9f8c962fc,58,32c6a9153c7ededa,1,136,136
136,9,810,842,0353c9ce3ef5a7f8,58,32c6a9153c7ededa,1,137,137
137,4,720,746,5524b82ef45877b5,44,ba671f5d8277d075,1,138,138
138,9,810,842,b0695b9105d25273,58,32c6a9153c7ededa,1,139,139
139,8,816,842,2d05ea07a7f8b288,59,2e5f1ae16d23ec9a,1,140,140
140,9,810,842,6f7af8a9b8039590,58,32c6a9153c7ededa,1,141,141
141,6,816,842,be43e957a2284980,52,efcc9aa7acbe05bc,1,142,142
142,9,810,842,a5623a9b0613fce9,58,32c6a9153c7ededa,1,143,143
143,9,810,842,54d6bf73438ec939,58,32c6a9153c7ededa,1,144,144
144,4,720,746,8d634c5f975aead9,44,ba671f5d8277d075,1,145,145
145,6,816,842,f64ea80e1973d6c1,52,efcc9aa7acbe05bc,1,146,146
146,3,762,766,f0e622aa4d35e506,45,85d1df8cb47124af,1,147,147
147,6,816,842,d3f14ae6fbd1b48f,52,efcc9aa7acbe05bc,1,148,148
148,3,752,758,ec0b62ad3ac98aad,60,7fef4b54e7a96dcc,1,149,149
149,6,816,842,40317426b52a41af,52,efcc9aa7acbe05bc,1,150,150
150,9,810,842,860956299da4d086,58,32c6a9153c7ededa,1,151,151
151,3,762,766,f5acf18ccdaddcb3,45,85d1df8cb47124af,1,152,152
152,4,720,746,0c882f34cb1a0dc4,44,ba671f5d8277d075,1,153,153
153,9,810,842,06c03f608dd42fb6,58,32c6a9153c7ededa,1,154,154
154,6,816,842,f2c6a2bae471a50c,52,efcc9aa7acbe05bc,1,155,155
155,9,810,842,63026023ad2e9954,58,32c6a9153c7ededa,1,156,156
156,9,810,842,2fdc578085cac315,58,32c6a9153c7ededa,1,157,157
157,5,824,842,b90eb7fbea4b9a21,61,285f3ac3731b7fc6,1,158,158
158,13,663,683,9fa3b5a4387f49ff,62,4a8a6a495db2ea34,1,159,159
159,9,810,842,09bcea2e630f6887,58,32c6a9153c7ededa,1,160,160
160,9,810,842,9c0c7312efef60fc,58,32c6a9153c7ededa,1,161,161
161,9,810,842,72a00c7442276bb8,58,32c6a9153c7ededa,1,162,162
162,6,816,842,e5f367069525074f,52,efcc9aa7acbe05bc,1,163,163
163,6,816,842,20bbb742fe3d5eee,52,efcc9aa7acbe05bc,1,164,164
164,12,664,683,e765c98356c3b997,63,6b0a51bc3b60ff6e,1,165,165
165,24,1314,1402,b7a12c14c6df94f4,64,efe5f5c3a373b03e,1,166,166
166,1,1336,1336,f8077959997655bd,65,9f33113d3ffc66ee,1,167,167
167,34,1326,1402,a48e4642da03c125,66,774cecd307ac4193,1,168,168
168,3,1332,1346,5e9be05ae327da07,67,f1b43375c65cdba0,1,169,169
169,15,1352,1402,4178fdd34dd8384e,68,446125aab89456e0,1,170,170
170,21,1362,1426,f8ac16ec344dd133,69,5c1bf701b675fc07,1,171,171
171,6,1374,1396,8c32bbabfa3b2626,70,3c9d32e3dea3d7ba,1,172,172
172,5,1380,1398,ef55a279156437f9,71,6bd085d27a10e5b6,1,173,173
173,6,1380,1402,e4707aabe2a435bb,72,51d10fab3e42a8e8,1,174,174
174,6,1380,1402,b4a0f2e1ff691d36,72,51d10fab3e42a8e8,1,175,175
175,6,1380,1402,94a572ba6fb73fce,72,51d10fab3e42a8e8,1,176,176
176,6,1380,1402,c2cdcc3a047d4822,72,51d10fab3e42a8e8,1,177,177
177,3,1332,1346,fc9b4e2e1682921d,67,f1b43375c65cdba0,1,178,178
178,6,1380,1402,8361ee8b110bb6a2,72,51d10fab3e42a8e8,1,179,179
179,3,1434,1438,8dc3aae430d01bf6,73,289f3d4b6c74f4c4,1,180,180
180,5,1482,1494,da81b13c7480f508,74,0c7d28efebbcb0e1,1,181,181
181,55,1446,1580,de96e01c67f55250,75,7dec7d7faa69c251,1,182,182
182,6,1482,1502,883b7a6548b8456d,76,fe5192c64b4d9f0e,1,183,183
183,6,1380,1402,afc1c0348da786a4,72,51d10fab3e42a8e8,1,184,184
184,6,1482,1502,8653fbf471177815,76,fe5192c64b4d9f0e,1,185,185
185,3,1452,1466,eff969d43bacaf53,77,5a38959afc182f05,1,186,186
186,55,1464,1586,7bc663279ade144a,78,4524ebfafe24e469,1,187,187
187,23,1500,1570,db6468459f897ee0,79,7490dd67a97d6955,1,188,188
188,8,1508,1562,a747453b5d0de32d,80,2e34663c031008d7,1,189,189
189,18,1510,1606,f7680af1723170e1,81,1d691bba21e75d31,1,190,190
190,6,1380,1402,ed0e61e3e8ae6acd,72,51d10fab3e42a8e8,1,191,191
191,17,1526,1564,9cf2ad031a2f548c,82,bd35bc004460b1aa,1,192,192
192,6,1380,1402,3e13a9455389aeca,72,51d10fab3e42a8e8,1,193,193
193,5,1552,1576,7ca79cd4d10c1c3f,83,ecdd299525f32f41,1,194,194
