m,trial_idx,rng_seed,timed_out,repeat_after,max_value,cycle_length,cycle_min,cycle_max,distinct_tail_values,value_set
16,0,16226008763869681327,0,261,189,17,112,118,4,112;114;116;118
3,1000,16281063126065375840,0,14,14,4,12,14,2,12;14
2,1000,13645060171439554386,0,8,5,3,4,5,2,4;5
49,0,11876575118127461096,0,1842,1089,50,288,302,3,288;294;302
2,500,2720292995244204405,0,9,5,3,4,5,2,4;5
4,0,8346079845500723674,0,25,19,6,14,17,4,14;15;16;17
2,250,15764524714424680087,0,9,5,3,4,5,2,4;5
3,0,10753165928301472203,0,14,14,4,12,14,2,12;14
25,1000,3744173029141410213,0,412,322,52,172,178,4,172;174;176;178
2,0,16616101746815609346,0,9,5,3,4,5,2,4;5
8,0,2476628477891077985,0,69,43,38,22,43,12,22;24;27;29;30;31;34;35;36;39;41;43
2,750,1944565635316979671,0,7,5,3,4,5,2,4;5
2,125,10278661278015368886,0,8,5,3,4,5,2,4;5
4,1000,11525411678915735030,0,20,52,7,10,17,6,10;12;13;15;16;17
25,0,17714943439140796905,0,5352,386,135,150,186,14,150;154;156;158;160;162;164;166;168;170;176;178;182;186
2,501,13434455859300499775,0,7,5,3,4,5,2,4;5
2,502,15822718526843952008,0,7,5,3,4,5,2,4;5
2,503,9033577500401864039,0,9,5,3,4,5,2,4;5
125,0,3142648068194189331,0,12064,2724,127,1000,1030,4,1000;1008;1022;1030
2,504,4274540144982806661,0,8,5,3,4,5,2,4;5
2,251,7981156316845240290,0,9,5,3,4,5,2,4;5
2,1001,8735728115924634489,0,9,5,3,4,5,2,4;5
2,1002,14392483402625075095,0,7,5,3,4,5,2,4;5
2,505,7203653340440549177,0,7,5,3,4,5,2,4;5
2,252,3720550803109544557,0,9,5,3,4,5,2,4;5
2,751,8312663126800051482,0,9,5,3,4,5,2,4;5
2,752,2838441077195179838,0,8,5,3,4,5,2,4;5
25,1001,2969786758255549792,0,363,207,52,172,178,4,172;174;176;178
2,506,14999338196132726836,0,9,5,3,4,5,2,4;5
2,126,9273486789485189998,0,8,5,3,4,5,2,4;5
2,127,12889291625562465956,0,9,5,3,4,5,2,4;5
4,1001,3893882254974470259,0,28,19,7,10,17,6,10;12;13;15;16;17
25,1002,3744013715829435389,0,1862,496,52,172,178,4,172;174;176;178
16,1,13821500995345208967,0,184,199,17,112,118,4,112;114;116;118
2,128,7369902374865317985,0,8,5,3,4,5,2,4;5
3,1001,14414147187706210403,0,13,14,4,12,14,2,12;14
2,753,9780677436061311053,0,8,5,3,4,5,2,4;5
4,1,15008804209323424015,0,28,19,7,10,17,6,10;12;13;15;16;17
4,1002,661512202041279232,0,18,19,7,10,17,6,10;12;13;15;16;17
16,2,10167212684466325391,0,169,157,17,112,118,4,112;114;116;118
2,129,14296340382629831835,0,7,5,3,4,5,2,4;5
