value,count
3024,1
3029,1
3031,1
3035,1
3043,1
3047,1
3050,1
3051,2
3053,1
3057,1
3058,3
3062,5
3064,2
3067,1
3069,1
3070,2
3071,2
3073,1
3075,3
3076,2
3077,2
3078,2
3079,1
3080,1
3081,1
3083,1
3086,5
3087,1
3088,1
3090,1
3092,1
3093,1
3094,4
3095,1
3096,2
3097,1
3099,27
3101,2
3102,2
3103,9
3105,1
3106,147
3107,16
3108,4
3109,2
3110,6
3111,8
3112,1
3113,6
3114,3
3115,2
3116,5
3117,1
3119,3
3121,2
3122,4
3123,4
3124,6
3125,4
3126,5
3127,6
3128,4
3129,1
3130,9
3131,5
3132,8
3133,1
3134,111
3135,15
3136,8
3137,6
3138,11
3139,66
3140,3
3141,14
3142,32
3143,84
3144,7
3145,62
3147,91
3148,5
3149,181
3150,5
3151,92
3152,8
3153,115
3154,11
3155,106
3156,4
3157,271
3158,146
3159,30
3160,12
3161,1298
3162,3
3163,408
3164,3
3165,86
3166,28
3167,89
3168,5
3169,113
3170,7
3171,27
3172,7
3173,58
3174,15
3175,82
3176,2
3177,204
3178,4
3179,232
3180,12
3181,417
3182,13
3183,81
3184,10
3185,91
3186,8
3187,23
3188,9
3189,274
3190,7
3191,56
3192,10
3193,368
3194,24
3195,118
3196,10
3197,213
3198,15
3199,344
3200,11
3201,425
3202,14
3203,436
3204,10
3205,1043
3206,17
3207,1027
3208,3
3209,447
3210,12
3211,24
3212,13
3213,5
3214,23
3215,73
3216,11
3217,12
3218,23
3219,49
3220,32
3221,29
3222,25
3223,180
3224,9
3225,26
3226,10
3227,56
3228,16
3229,37
3230,15
3231,17
3232,17
3233,84
3234,25
3235,218
3236,24
3237,44
3238,119
3239,47
3240,61
3241,70
3242,192
3243,87
3244,29
3245,144
3246,33
3247,255
3248,17
3249,106
3250,56
3251,141
3252,30
3253,81
3254,300
3255,67
3256,72
3257,162
3258,36
3259,81
3260,18
3261,535
3262,74
3263,268
3264,52
3265,859
3266,60
3267,175
3268,51
3269,1030
3270,89
3271,319
3272,35
3273,528
3274,48
3275,292
3276,81
3277,1455
3278,115
3279,801
3280,18
3281,1162
3282,115
3283,501
3284,75
3285,342
3286,102
3287,1588
3288,84
3289,1451
3290,87
3291,1964
3292,35
3293,7015
3294,41
3295,3788
3296,51
3297,3167
3298,38
3299,2003
3300,45
3301,3527
3302,169
3303,1434
3304,68
3305,3814
3306,127
3307,2233
3308,106
3309,459
3310,156
3311,297
3312,71
3313,396
3314,849
3315,210
3316,132
3317,1810
3318,147
3319,719
3320,103
3321,222
3322,86
3323,491
3324,19
3325,182
3326,145
3327,3740
3328,76
3329,905
3330,148
3331,51
3332,99
3333,1758
3334,192
3335,326
3336,59
3337,6784
3338,249
3339,1323
3340,67
3341,5389
3342,75
3343,2281
3344,63
3345,3835
3346,152
3347,2322
3348,105
3349,16206
3350,245
3351,6468
3352,79
3353,6220
3354,93
3355,4758
3356,67
3357,7051
3358,237
3359,8140
3360,164
3361,6659
3362,221
3363,76
3364,179
3365,1120
3366,96
3367,704
3368,110
3369,4919
3370,83
3371,1152
3372,65
3373,797
3374,118
3375,354
3376,52
3377,151
3378,137
3379,1187
3380,106
3381,582
3382,200
3383,2121
3384,80
3385,1664
3386,502
3387,4043
3388,141
3389,1270
3390,86
3391,481
3392,36
3393,248
3394,400
3395,196
3396,114
3397,826
3398,157
3399,492
3400,112
3401,1189
3402,148
3403,2087
3404,258
3405,1141
3406,250
3407,446
3408,76
3409,3160
3410,187
3411,1635
3412,246
3413,1234
3414,543
3415,1409
3416,193
3417,661
3418,1561
3419,1190
3420,320
3421,1373
3422,334
3423,2081
3424,169
3425,375
3426,445
3427,6558
3428,215
3429,1578
3430,379
3431,5753
3432,206
3433,1865
3434,306
3435,2831
3436,49
3437,1452
3438,475
3439,7285
3440,209
3441,2780
3442,2282
3443,4165
3444,303
3445,3278
3446,1170
3447,10587
3448,340
3449,9637
3450,207
3451,24615
3452,342
3453,4606
3454,711
3455,52002
3456,325
3457,27287
3458,570
3459,689
3460,430
3461,370
3462,962
3463,236
3464,543
3465,280
3466,2211
3467,182
3468,778
3469,498
3470,988
3471,95
3472,404
3473,712
3474,840
3475,429
3476,612
3477,1293
3478,1621
3479,335
3480,1176
3481,1693
3482,9187
3483,1173
3484,1720
3485,13658
3486,479
3487,5017
3488,444
3489,32713
3490,1047
3491,10129
3492,1007
3493,3181
3494,3826
3495,1222
3496,1075
3497,5484
3498,617
3499,2849
3500,420
3501,1998
3502,1923
3503,3838
3504,625
3505,5153
3506,8567
3507,3513
3508,2126
3509,6408
3510,1961
3511,8772
3512,1224
3513,4616
3514,578
3515,3445
3516,834
3517,3452
3518,2184
3519,4528
3520,1091
3521,8819
3522,773
3523,11442
3524,447
3525,7404
3526,947
3527,9247
3528,402
3529,6029
3530,837
3531,9311
3532,322
3533,11594
3534,1047
3535,22511
3536,458
3537,38741
3538,1517
3539,40135
3540,985
3541,47285
3542,1539
3543,13157
3544,908
3545,15953
3546,1630
3547,5804
3548,850
3549,1539
3550,2361
3551,5868
3552,893
3553,7148
3554,16936
3555,6374
3556,2020
3557,7464
3558,1866
3559,7924
3560,1291
3561,10835
3562,3554
3563,32484
3564,1499
3565,26984
3566,13532
3567,5537
3568,2323
3569,73541
3570,1289
3571,28095
3572,1133
3573,1874
3574,5884
3575,10787
3576,1895
3577,6889
3578,815
3579,52719
3580,912
3581,15158
3582,630
3583,6640
3584,608
3585,6341
3586,1118
3587,12333
3588,1640
3589,18051
3590,3295
3591,12605
3592,1246
3593,4984
3594,3448
3595,27257
3596,1846
3597,33825
3598,4622
3599,47358
3600,1925
3601,85713
3602,17182
3603,66422
3604,2643
3605,32383
3606,1222
3607,30449
3608,1478
3609,14513
3610,981
3611,100428
3612,1739
3613,26915
3614,1736
3615,6416
3616,598
3617,5591
3618,1348
3619,4838
3620,2029
3621,16494
3622,1337
3623,6152
3624,1047
3625,117596
3626,1073
3627,21178
3628,1444
3629,268130
3630,3046
3631,112877
3632,1843
3633,12151
3634,2771
3635,101611
3636,866
3637,43565
3638,3729
3639,12490
3640,1229
3641,20805
3642,6517
3643,7262
3644,1616
3645,2361
3646,23345
3647,5116
3648,2629
3649,7663
3650,2347
3651,5612
3652,809
3653,8253
3654,879
3655,4321
3656,643
3657,16514
3658,3984
3659,5653
3660,1287
3661,43691
3662,19166
3663,10715
3664,1780
3665,18203
3666,1211
3667,22496
3668,1106
3669,37973
3670,3053
3671,13952
3672,2307
3673,6484
3674,5051
3675,4096
3676,2115
3677,2000
3678,4130
3679,8980
3680,3104
3681,5263
3682,3508
3683,15519
3684,1280
3685,24167
3686,2860
3687,12571
3688,1884
3689,30729
3690,2804
3691,27109
3692,2061
3693,76141
3694,3319
3695,32498
3696,2566
3697,9581
3698,1876
3699,3205
3700,3537
3701,2786
3702,4623
3703,4443
3704,1119
3705,3770
3706,4652
3707,9185
3708,2454
3709,4203
3710,5992
3711,4835
3712,1727
3713,9934
3714,13119
3715,7546
3716,4625
3717,7437
3718,11567
3719,5459
3720,5487
3721,6958
3722,38613
3723,10193
3724,4588
3725,30554
3726,7195
3727,36443
3728,2752
3729,10751
3730,8447
3731,13206
3732,2231
3733,16939
3734,21623
3735,17536
3736,6360
3737,41831
3738,8844
3739,19516
3740,5487
3741,16404
3742,42687
3743,72502
3744,5325
3745,62517
3746,10363
3747,49518
3748,4040
3749,140388
3750,7662
3751,49690
3752,3087
3753,28899
3754,3507
3755,98727
3756,2027
3757,56701
3758,4373
3759,108512
3760,4408
3761,62510
3762,4556
3763,274212
3764,2818
3765,102646
3766,10836
3767,62699
3768,2945
3769,88712
3770,6664
3771,24368
3772,4396
3773,151904
3774,5465
3775,43563
3776,6836
3777,311088
3778,15932
3779,126514
3780,5287
3781,6277
3782,20181
3783,34536
3784,3339
3785,12681
3786,17495
3787,78581
3788,5613
3789,20554
3790,14577
3791,61427
3792,5456
3793,26031
3794,12302
3795,8526
3796,3376
3797,16741
3798,11032
3799,14720
3800,2652
3801,43186
3802,7493
3803,16557
3804,4195
3805,115718
3806,11270
3807,27825
3808,4584
3809,54873
3810,11456
3811,58813
3812,4585
3813,159296
3814,17056
3815,91481
3816,4379
3817,363247
3818,6088
3819,243416
3820,3354
3821,202321
3822,11751
3823,196721
3824,7326
3825,56212
3826,9482
3827,123660
3828,5900
3829,71468
3830,7414
3831,156664
3832,6053
3833,85792
3834,5822
3835,103078
3836,4478
3837,162965
3838,11303
3839,275514
3840,2594
3841,240680
3842,15546
3843,78281
3844,7619
3845,121901
3846,15903
3847,121091
3848,5655
3849,159061
3850,13043
3851,65105
3852,2113
3853,64861
3854,4053
3855,7808
3856,1832
3857,19706
3858,17511
3859,22651
3860,5290
3861,41497
3862,37897
3863,15374
3864,5652
3865,83382
3866,11493
3867,35377
3868,6510
3869,94726
3870,13774
3871,31753
3872,3394
3873,134908
3874,2998
3875,71222
3876,899
3877,30429
3878,4290
3879,89366
3880,1332
3881,102791
3882,6323
3883,36865
3884,1699
3885,15700
3886,10084
3887,27230
3888,5555
3889,30631
3890,18497
3891,31437
3892,5782
3893,34910
3894,17545
3895,81097
3896,5815
3897,37653
3898,11890
3899,187458
3900,5822
3901,98528
3902,13241
3903,50312
3904,3207
3905,85368
3906,13119
3907,15778
3908,2249
3909,137483
3910,6148
3911,49371
3912,2503
3913,8080
3914,8731
3915,9893
3916,4120
3917,13941
3918,13365
3919,7407
3920,4145
