m,cycle_length,cycle_min,cycle_max,distinct,csv_mismatch,mean_v,mean_tau,cons_residual,rho_distinct,rho_weighted,rho_gap_dtau,mean_tau_over_lnm,well_behaved,fixed_point,wide_band,runaway,near_resonance,cl_mod_m
1,1,1,1,1,0,1.0,1.0,0.0,,,,,0,1,0,0,1,0
2,3,4,5,2,0,4.666667,2.333333,0.0,-1.0,-1.0,,3.3663,0,0,0,0,1,1
3,4,12,14,2,0,13.5,4.5,0.0,-1.0,-1.0,,4.0961,0,0,0,0,1,1
4,6,14,17,4,0,15.333333,3.833333,0.0,-0.3162,-0.1796,,2.7652,1,0,0,0,1,2
5,7,14,19,5,0,16.428571,3.285714,0.0,-0.6325,-0.7071,-0.1925,2.0415,1,0,0,0,1,2
6,7,30,34,3,0,32.571429,5.428571,0.0,-1.0,-1.0,,3.0297,1,0,0,0,1,1
7,9,14,19,4,0,17.888889,2.555556,0.0,-0.7379,-0.8406,-0.9707,1.3133,1,0,0,0,1,2
8,38,22,43,12,0,34.315789,4.289474,0.0,-0.2962,-0.4542,0.3601,2.0628,0,0,0,0,1,6
9,12,24,43,8,0,36.75,4.083333,0.0,-0.5312,-0.7228,-0.1031,1.8584,1,0,0,0,1,3
10,185,66,82,8,0,71.783784,7.178378,0.0,-0.4077,-0.4272,0.3536,3.1175,1,0,0,1,0,5
11,13,34,43,5,0,39.769231,3.615385,0.0,-0.7906,-0.9238,0.7137,1.5077,1,0,0,0,1,2
12,219,66,82,8,0,74.520548,6.210046,0.0,-0.4077,-0.404,0.3536,2.4991,1,0,0,1,1,3
13,15,34,43,5,0,40.733333,3.133333,0.0,-0.7906,-0.9358,0.7137,1.2216,1,0,0,0,1,2
14,253,66,82,8,0,77.027668,5.501976,0.0,-0.4077,-0.4276,0.3536,2.0848,1,0,0,1,1,1
15,16,112,118,4,0,114.375,7.625,0.0,-1.0,-1.0,,2.8157,1,0,0,0,1,1
16,18,84,94,4,0,90.666667,5.666667,0.0,-0.6325,-0.7184,-0.803,2.0438,1,0,0,0,1,2
17,18,112,118,4,0,115.222222,6.777778,0.0,-1.0,-1.0,,2.3923,1,0,0,0,1,1
18,120,150,186,14,0,156.6,8.7,0.0,-0.0987,-0.7242,0.1811,3.01,0,0,0,0,0,12
19,40,76,82,4,0,81.7,4.3,0.0,-0.2,-0.9964,,1.4604,1,0,0,0,1,2
20,21,114,118,3,0,116.190476,5.809524,0.0,-1.0,-1.0,,1.9393,1,0,0,0,1,1
