m,x,q
1,1,1
1,2,2
2,8,4
2,12,6
3,9,3
3,18,6
3,24,8
4,36,9
5,40,8
5,60,12
6,72,12
7,56,8
7,84,12
8,80,10
8,96,12
9,108,12
10,180,18
11,88,8
11,132,12
12,240,20
13,104,8
13,156,12
14,252,18
15,360,24
16,128,8
16,288,18
17,136,8
17,204,12
19,152,8
19,228,12
20,480,24
21,504,24
22,396,18
23,184,8
23,276,12
24,384,16
24,720,30
25,225,9
25,450,18
25,600,24
26,468,18
28,560,20
28,672,24
29,232,8
29,348,12
31,248,8
31,372,12
32,448,14
33,792,24
34,612,18
35,1260,36
36,864,24
37,296,8
37,444,12
38,684,18
39,936,24
40,640,16
40,1200,30
40,1440,36
41,328,8
41,492,12
42,1680,40
43,344,8
43,516,12
44,880,20
44,1056,24
46,828,18
47,376,8
47,564,12
48,1152,24
48,1344,28
49,441,9
49,882,18
49,1176,24
50,1800,36
51,1224,24
52,1040,20
52,1248,24
53,424,8
53,636,12
54,972,18
54,1620,30
54,2160,40
55,1980,36
56,896,16
56,2016,36
57,1368,24
58,1044,18
59,472,8
59,708,12
60,1920,32
61,488,8
61,732,12
62,1116,18
65,2340,36
66,2640,40
67,536,8
67,804,12
68,1360,20
68,1632,24
69,1656,24
70,3360,48
71,568,8
71,852,12
73,584,8
73,876,12
74,1332,18
75,2700,36
76,1520,20
76,1824,24
77,2772,36
78,3120,40
79,632,8
79,948,12
80,2240,28
80,3600,45
81,1944,24
81,3240,40
82,1476,18
83,664,8
83,996,12
84,2688,32
84,5040,60
85,3060,36
86,1548,18
87,2088,24
88,1408,16
88,3168,36
89,712,8
89,1068,12
90,4320,48
91,3276,36
92,1840,20
92,2208,24
93,2232,24
94,1692,18
95,3420,36
96,4032,42
97,776,8
97,1164,12
98,3528,36
100,2000,20
101,808,8
101,1212,12
102,4080,40
103,824,8
103,1236,12
104,1664,16
104,3744,36
106,1908,18
107,856,8
107,1284,12
108,3456,32
109,872,8
109,1308,12
110,5280,48
111,2664,24
113,904,8
113,1356,12
114,4560,40
115,4140,36
116,2320,20
116,2784,24
118,2124,18
119,4284,36
120,5760,48
120,6720,56
121,1089,9
121,2178,18
121,2904,24
122,2196,18
123,2952,24
124,2480,20
124,2976,24
125,625,5
125,1250,10
125,4500,36
126,6048,48
127,1016,8
127,1524,12
128,2560,20
129,3096,24
130,6240,48
131,1048,8
131,1572,12
132,4224,32
132,7920,60
133,4788,36
134,2412,18
135,2025,15
135,4050,30
135,4860,36
136,2176,16
136,4896,36
137,1096,8
137,1644,12
138,5520,40
139,1112,8
139,1668,12
140,4480,32
140,8400,60
140,10080,72
141,3384,24
142,2556,18
143,5148,36
145,5220,36
146,2628,18
147,5292,36
148,2960,20
148,3552,24
149,1192,8
149,1788,12
150,6000,40
151,1208,8
151,1812,12
152,2432,16
152,5472,36
154,6160,40
154,7392,48
155,5580,36
156,4992,32
156,9360,60
157,1256,8
157,1884,12
158,2844,18
159,3816,24
161,5796,36
163,1304,8
163,1956,12
164,3280,20
164,3936,24
166,2988,18
167,1336,8
167,2004,12
168,8064,48
169,1521,9
169,3042,18
169,4056,24
170,8160,48
172,3440,20
172,4128,24
173,1384,8
173,2076,12
174,6960,40
175,12600,72
176,4928,28
177,4248,24
178,3204,18
179,1432,8
179,2148,12
180,8100,45
180,10800,60
181,1448,8
181,2172,12
182,7280,40
182,8736,48
183,4392,24
184,2944,16
184,6624,36
185,6660,36
186,7440,40
187,6732,36
188,3760,20
188,4512,24
189,6804,36
189,11340,60
189,15120,80
190,9120,48
191,1528,8
191,2292,12
192,6912,36
192,7680,40
193,1544,8
193,2316,12
194,3492,18
196,11760,60
197,1576,8
197,2364,12
198,9504,48
199,1592,8
199,2388,12
200,9600,48
201,4824,24
202,3636,18
203,7308,36
204,6528,32
204,12240,60
205,7380,36
206,3708,18
208,5824,28
209,7524,36
210,13440,64
211,1688,8
211,2532,12
212,4240,20
212,5088,24
213,5112,24
214,3852,18
215,7740,36
216,7776,36
216,12096,56
216,12960,60
217,7812,36
218,3924,18
219,5256,24
220,7040,32
220,13200,60
220,15840,72
221,7956,36
222,8880,40
223,1784,8
223,2676,12
224,9408,42
226,4068,18
227,1816,8
227,2724,12
228,7296,32
228,13680,60
229,1832,8
229,2748,12
230,11040,48
231,18480,80
232,3712,16
232,8352,36
233,1864,8
233,2796,12
234,11232,48
235,8460,36
236,4720,20
236,5664,24
237,5688,24
238,9520,40
238,11424,48
239,1912,8
239,2868,12
240,20160,84
241,1928,8
241,2892,12
242,8712,36
244,4880,20
244,5856,24
245,17640,72
246,9840,40
247,8892,36
248,3968,16
248,8928,36
249,5976,24
250,5000,20
250,7500,30
250,12000,48
251,2008,8
251,3012,12
253,9108,36
254,4572,18
256,6144,24
257,2056,8
257,3084,12
258,10320,40
259,9324,36
260,8320,32
260,15600,60
260,18720,72
262,4716,18
263,2104,8
263,3156,12
264,12672,48
264,14784,56
265,9540,36
266,10640,40
266,12768,48
267,6408,24
268,5360,20
268,6432,24
269,2152,8
269,3228,12
270,16200,60
270,17280,64
271,2168,8
271,3252,12
272,7616,28
273,21840,80
274,4932,18
275,19800,72
276,8832,32
276,16560,60
277,2216,8
277,3324,12
278,5004,18
280,25200,90
281,2248,8
281,3372,12
282,11280,40
283,2264,8
283,3396,12
284,5680,20
284,6816,24
286,11440,40
286,13728,48
287,10332,36
289,2601,9
289,5202,18
289,6936,24
290,13920,48
291,6984,24
292,5840,20
292,7008,24
293,2344,8
293,3516,12
295,10620,36
296,4736,16
296,10656,36
297,10692,36
297,17820,60
297,23760,80
298,5364,18
299,10764,36
300,18000,60
300,21600,72
301,10836,36
302,5436,18
303,7272,24
304,8512,28
305,10980,36
306,14688,48
307,2456,8
307,3684,12
308,9856,32
308,22176,72
309,7416,24
310,14880,48
311,2488,8
311,3732,12
312,14976,48
312,17472,56
313,2504,8
313,3756,12
314,5652,18
315,30240,96
316,6320,20
316,7584,24
317,2536,8
317,3804,12
318,12720,40
319,11484,36
321,7704,24
322,12880,40
322,15456,48
323,11628,36
324,19440,60
325,23400,72
326,5868,18
327,7848,24
328,5248,16
328,11808,36
329,11844,36
330,21120,64
331,2648,8
331,3972,12
332,6640,20
332,7968,24
334,6012,18
335,12060,36
337,2696,8
337,4044,12
338,12168,36
339,8136,24
340,10880,32
340,20400,60
340,24480,72
341,12276,36
342,16416,48
343,12348,36
344,5504,16
344,12384,36
346,6228,18
347,2776,8
347,4164,12
348,11136,32
348,20880,60
349,2792,8
349,4188,12
350,14000,40
351,12636,36
351,21060,60
351,28080,80
353,2824,8
353,4236,12
354,14160,40
355,12780,36
356,7120,20
356,8544,24
357,28560,80
358,6444,18
359,2872,8
359,4308,12
361,3249,9
361,6498,18
361,8664,24
362,6516,18
363,13068,36
364,11648,32
364,26208,72
365,13140,36
366,14640,40
367,2936,8
367,4404,12
368,10304,28
370,17760,48
371,13356,36
372,11904,32
372,22320,60
373,2984,8
373,4476,12
374,14960,40
374,17952,48
375,5625,15
375,11250,30
375,15000,40
376,6016,16
376,13536,36
377,13572,36
378,24192,64
379,3032,8
379,4548,12
380,12160,32
380,22800,60
380,27360,72
