K,S_size,distinct_taus,tau_min,tau_max,gcd,tau_range,m_lo,m_hi,cmin,cmax,cmin_over_m_mid,basin_reached,seed1_reached,basin_trials,mean_tau_S
7,2,2,2,3,1,1,2,2,4,5,1.999999999,True,True,185,2.5
12,2,2,3,4,1,1,2,3,8,9,3.19999999872,False,False,0,3.5
18,2,2,4,6,2,2,2,3,12,14,4.79999999808,True,True,200,5.0
19,2,2,2,4,2,2,4,8,15,17,2.4999999995833333,False,False,0,3.0
21,2,2,2,5,3,3,4,9,16,19,2.4615384611597633,True,False,13,3.5
26,2,2,4,6,2,2,4,5,20,22,4.44444444345679,True,False,9,5.0
25,2,2,2,4,2,2,6,11,21,23,2.47058823500346,False,False,0,3.0
31,2,2,2,4,2,2,7,14,27,29,2.5714285711836733,False,False,0,3.0
38,3,3,4,8,2,4,4,8,30,34,4.999999999166667,True,True,155,6.0
39,2,2,2,4,2,2,9,18,35,37,2.592592592400549,False,False,0,3.0
45,2,2,2,9,7,7,4,21,36,43,2.8799999997696,False,False,0,5.5
43,2,2,2,4,2,2,10,20,39,41,2.5999999998266667,False,False,0,3.0
50,3,3,4,8,2,4,6,11,42,46,4.94117647000692,True,False,10,6.0
58,2,2,6,10,4,4,5,8,48,52,7.38461538347929,True,False,5,8.0
55,2,2,2,4,2,2,13,26,51,53,2.615384615250493,False,False,0,3.0
62,2,2,4,8,4,4,7,14,54,58,5.142857142367347,False,False,0,6.0
61,2,2,2,4,2,2,15,29,57,59,2.5909090907913224,False,False,0,3.0
69,3,3,2,6,2,4,11,33,63,67,2.8636363635061985,False,False,0,4.0
74,2,2,6,8,2,2,9,11,66,68,6.59999999934,True,False,6,7.0
73,2,2,2,4,2,2,18,35,69,71,2.6037735848074046,False,False,0,3.0
78,2,2,4,8,4,4,9,18,70,74,5.185185184801098,False,False,0,6.0
81,3,3,2,6,2,4,13,39,75,79,2.8846153845044378,False,False,0,4.0
86,3,3,4,8,1,4,10,20,78,82,5.1999999996533335,False,False,0,5.666666666666667
90,2,2,4,10,6,6,8,21,80,86,5.517241378929845,True,False,4,7.0
96,2,2,8,12,4,4,7,11,84,88,9.333333332296297,False,False,0,10.0
91,2,2,2,4,2,2,22,44,87,89,2.636363636283747,False,False,0,3.0
98,2,2,4,6,2,2,16,23,92,94,4.717948717706772,False,False,0,5.0
99,2,2,2,4,2,2,24,48,95,97,2.6388888888155866,False,False,0,3.0
105,2,2,2,6,4,4,17,51,99,103,2.9117647057967133,False,False,0,4.0
109,2,2,2,9,7,7,12,53,100,107,3.0769230768284026,False,False,0,5.5
110,2,2,4,8,4,4,13,26,102,106,5.230769230500986,False,False,0,6.0
115,2,2,2,4,2,2,28,56,111,113,2.642857142794218,False,False,0,3.0
122,4,4,4,10,2,6,12,29,112,118,5.463414633879833,True,True,1096,7.0
123,2,2,4,6,2,2,20,29,117,119,4.775510203886713,False,False,0,5.0
136,2,2,8,16,8,8,8,16,120,128,9.999999999166667,False,False,0,12.0
129,2,2,2,4,2,2,32,63,125,127,2.63157894731302,False,False,0,3.0
138,3,3,4,12,4,8,11,33,126,134,5.727272727012397,False,False,0,8.0
133,2,2,2,4,2,2,33,65,129,131,2.6326530611707626,False,False,0,3.0
144,2,2,8,12,4,4,11,17,132,136,9.428571427897959,True,False,3,10.0
146,2,2,4,8,4,4,18,35,138,142,5.207547169614809,False,False,0,6.0
159,4,4,2,15,1,13,10,78,144,157,3.272727272652893,True,True,466,6.75
153,2,2,2,6,4,4,25,75,147,151,2.9399999999412003,False,False,0,4.0
162,3,3,4,12,4,8,13,39,150,158,5.7692307690088755,False,False,0,8.0
172,3,3,3,12,1,9,14,56,160,169,4.571428571297959,False,False,0,8.333333333333334
165,2,2,2,4,2,2,41,81,161,163,2.6393442622518144,False,False,0,3.0
170,2,2,4,6,2,2,28,41,164,166,4.753623188268011,False,False,0,5.0
178,2,2,6,8,2,2,22,28,170,172,6.799999999728,True,False,3,7.0
182,2,2,4,8,4,4,22,44,174,178,5.272727272567494,False,False,0,6.0
181,3,3,2,6,2,4,30,89,175,179,2.941176470538804,False,False,0,4.0
198,3,3,4,18,2,14,10,48,180,194,6.206896551510107,True,False,392,10.0
194,2,2,6,8,2,2,24,31,186,188,6.763636363390413,True,False,14,7.0
206,2,2,4,14,10,10,14,50,192,202,5.999999999812501,True,False,1,9.0
205,2,2,4,9,5,5,22,50,196,201,5.44444444429321,True,False,20,6.5
210,2,2,4,12,8,8,17,51,198,206,5.823529411593427,False,False,0,8.0
213,3,3,2,6,2,4,35,105,207,211,2.957142857100612,False,False,0,4.0
218,3,3,4,10,2,6,21,53,208,214,5.621621621469687,True,False,9,6.666666666666667
232,2,2,12,16,4,4,14,18,216,220,13.49999999915625,False,False,0,14.0
225,2,2,2,4,2,2,56,111,221,223,2.64670658679465,False,False,0,3.0
230,2,2,4,8,4,4,28,56,222,226,5.285714285588436,False,False,0,6.0
240,2,2,8,12,4,4,19,29,228,232,9.499999999604167,False,False,0,10.0
239,2,2,4,8,4,4,29,58,231,235,5.310344827464131,False,False,0,6.0
246,2,2,8,12,4,4,20,29,234,238,9.551020407773427,False,False,0,10.0
241,2,2,2,4,2,2,60,119,237,239,2.648044692707843,False,False,0,3.0
251,2,2,4,6,2,2,41,61,245,247,4.803921568533257,False,False,0,5.0
253,2,2,2,4,2,2,63,125,249,251,2.6489361701845855,False,False,0,3.0
258,2,2,4,8,4,4,32,63,250,254,5.26315789462604,False,False,0,6.0
263,2,2,4,8,4,4,32,64,255,259,5.312499999889323,False,False,0,6.0
265,2,2,2,9,7,7,29,131,256,263,3.1999999999599997,False,False,0,5.5
266,2,2,4,8,4,4,33,65,258,262,5.265306122341525,False,False,0,6.0
274,2,2,6,8,2,2,34,44,266,268,6.820512820337936,False,False,0,7.0
271,2,2,2,4,2,2,67,134,267,269,2.6567164178840126,False,False,0,3.0
282,2,2,4,10,6,6,28,69,272,278,5.608247422564779,False,False,0,7.0
281,2,2,6,8,2,2,35,45,273,275,6.824999999829376,False,False,0,7.0
285,2,2,2,6,4,4,47,141,279,283,2.968085106351403,False,False,0,4.0
290,2,2,6,8,2,2,36,47,282,284,6.795180722727827,True,False,8,7.0
306,3,3,4,18,2,14,16,75,288,302,6.329670329531217,True,True,272,11.333333333333334
298,2,2,6,8,2,2,37,48,290,292,6.823529411604153,False,False,0,7.0
295,2,2,2,4,2,2,73,146,291,293,2.6575342465510725,False,False,0,3.0
305,2,2,4,8,4,4,38,75,297,301,5.256637168048555,False,False,0,6.0
318,4,4,4,18,2,14,17,78,300,314,6.315789473551247,True,True,2362,10.5
309,2,2,2,4,2,2,77,153,305,307,2.6521739130204156,False,False,0,3.0
313,2,2,2,4,2,2,78,155,309,311,2.652360514998692,False,False,0,3.0
327,2,2,4,12,8,8,27,80,315,323,5.887850467179667,False,False,0,8.0
330,2,2,4,8,4,4,41,81,322,326,5.278688524503629,False,False,0,6.0
339,4,4,2,15,1,13,22,168,324,337,3.4105263157535735,True,True,78,6.75
331,2,2,4,6,2,2,55,81,325,327,4.779411764635596,False,False,0,5.0
333,2,2,2,4,2,2,83,165,329,331,2.653225806430216,False,False,0,3.0
338,2,2,4,6,2,2,56,83,332,334,4.776978417197453,True,False,4,5.0
352,2,2,8,12,4,4,29,43,340,344,9.4444444441821,False,False,0,10.0
362,4,4,4,12,2,8,30,89,350,358,5.882352941077608,True,True,2598,7.5
