m,realised_K,n_admissible,pos_index,min_admissible_K,max_admissible_K
2,7,3,0,7,18
3,18,2,1,12,18
6,38,3,0,38,58
15,122,10,2,86,384
17,122,12,3,86,384
20,122,12,3,86,504
21,122,12,1,98,528
35,159,25,0,159,1296
36,306,27,8,109,888
37,318,30,10,159,1296
39,306,31,9,159,1296
40,159,33,0,159,1476
41,318,34,10,159,1296
42,318,32,8,159,1720
43,318,33,10,109,1720
44,362,33,13,159,1720
45,362,34,9,159,1720
46,318,32,7,159,1720
47,362,38,10,159,1720
48,362,37,9,159,1720
50,362,37,8,109,1720
51,362,38,7,159,1720
52,318,38,4,159,1720
56,318,43,4,159,2016
57,362,43,5,159,2016
58,362,42,6,159,2016
59,318,47,3,159,2016
60,362,49,5,159,2136
62,318,45,3,159,2016
64,362,46,5,159,2016
65,362,55,7,159,2376
66,318,48,2,159,2680
67,362,50,5,159,2376
69,362,50,5,159,2922
70,362,54,5,159,3408
72,318,54,3,159,3408
73,362,56,5,159,3408
74,506,51,9,159,3408
75,362,60,5,159,3408
77,506,62,10,159,3408
78,506,60,9,159,3408
83,506,66,7,338,3645
84,506,64,6,339,5100
85,339,69,0,339,3645
86,506,63,7,265,3645
87,506,72,7,339,5100
88,666,63,12,339,3645
89,750,70,17,339,4248
90,506,65,5,339,5100
92,666,64,12,339,4248
93,666,75,10,265,5100
94,750,68,15,339,3645
95,666,77,9,339,4248
96,750,72,14,339,5100
97,770,73,15,339,3645
98,750,68,13,339,4248
99,816,75,17,339,5100
100,816,74,17,265,3645
101,770,81,14,339,4248
119,962,93,17,339,7624
134,1082,94,18,339,7624
138,750,93,7,339,7624
145,750,111,7,339,10152
147,770,110,9,339,10152
149,762,110,8,339,10152
152,770,112,9,339,10152
153,750,109,7,339,10152
169,1350,123,21,493,10152
178,1350,126,20,493,12672
180,1442,131,21,493,12672
186,1470,135,21,493,12672
196,1350,135,14,493,12672
213,1710,158,19,493,12672
215,1350,166,14,493,12672
216,1350,151,11,493,13020
218,1350,154,12,493,12672
219,1350,159,12,493,12672
220,1350,156,11,493,14104
228,1350,158,12,493,14104
232,1350,161,11,493,14463
233,1350,175,14,493,14463
235,1710,172,19,493,14463
246,1710,166,15,685,14463
