m,K,bar_tau,bar_v,cmin,cmax,tau_min,tau_max,range_v
2,7,2.333333,4.666667,4,5,2,3,1
3,18,4.500000,13.500000,12,14,4,6,2
6,38,5.428571,32.571429,30,34,4,8,4
15,122,7.625000,114.375000,112,118,4,10,6
17,122,6.777778,115.222222,112,118,4,10,6
20,122,5.809524,116.190476,114,118,4,8,4
21,122,5.545455,116.454545,112,118,4,10,6
35,159,4.416667,154.583333,144,157,2,15,13
36,306,8.270270,297.729730,288,302,4,18,14
37,318,8.368421,309.631579,300,314,4,18,14
39,306,7.650000,298.350000,288,302,4,18,14
40,159,3.878049,155.121951,144,157,2,15,13
41,318,7.571429,310.428571,300,314,4,18,14
42,318,7.395349,310.604651,300,314,4,18,14
43,318,7.227273,310.772727,300,314,4,18,14
44,362,8.044444,353.955556,350,358,4,12,8
45,362,7.869565,354.130435,350,358,4,12,8
46,318,6.765957,311.234043,300,314,4,18,14
47,362,7.541667,354.458333,350,358,4,12,8
48,362,7.387755,354.612245,350,358,4,12,8
50,362,7.098039,354.901961,350,358,4,12,8
51,362,6.961538,355.038462,350,358,4,12,8
52,318,6.000000,312.000000,300,314,4,18,14
56,318,5.578947,312.421053,300,314,4,18,14
57,362,6.241379,355.758621,350,358,4,12,8
58,362,6.135593,355.864407,350,358,4,12,8
59,318,5.300000,312.700000,300,314,4,18,14
60,362,5.934426,356.065574,350,358,4,12,8
62,318,5.047619,312.952381,300,314,4,18,14
64,362,5.569231,356.430769,350,358,4,12,8
65,362,5.484848,356.515152,350,358,4,12,8
66,318,4.746269,313.253731,300,314,4,18,14
67,362,5.323529,356.676471,350,358,4,12,8
69,362,5.171429,356.828571,350,358,4,12,8
70,362,5.098592,356.901408,350,358,4,12,8
72,318,4.356164,313.643836,300,314,4,18,14
73,362,4.891892,357.108108,350,358,4,12,8
74,506,6.746667,499.253333,496,502,4,10,6
75,362,4.763158,357.236842,350,358,4,12,8
77,506,6.487179,499.512821,496,502,4,10,6
78,506,6.405063,499.594937,496,502,4,10,6
83,506,6.023810,499.976190,496,502,4,10,6
84,506,5.952941,500.047059,496,502,4,10,6
85,339,3.941860,335.058140,324,337,2,15,13
86,506,5.816092,500.183908,496,502,4,10,6
87,506,5.750000,500.250000,496,502,4,10,6
88,666,7.483146,658.516854,656,662,4,10,6
89,750,8.333333,741.666667,720,746,4,30,26
90,506,5.560440,500.439560,496,502,4,10,6
92,666,7.161290,658.838710,656,662,4,10,6
93,666,7.085106,658.914894,656,662,4,10,6
94,750,7.894737,742.105263,720,746,4,30,26
95,666,6.937500,659.062500,656,662,4,10,6
96,750,7.731959,742.268041,720,746,4,30,26
97,770,7.857143,762.142857,762,766,4,8,4
98,750,7.575758,742.424242,720,746,4,30,26
99,816,8.160000,807.840000,792,808,8,24,16
100,816,8.079208,807.920792,804,808,8,12,4
101,770,7.549020,762.450980,762,766,4,8,4
119,962,8.016667,953.983333,950,958,4,12,8
134,1082,8.014815,1073.985185,1072,1074,8,10,2
138,750,5.395683,744.604317,720,746,4,30,26
145,750,5.136986,744.863014,720,746,4,30,26
147,770,5.202703,764.797297,762,766,4,8,4
149,762,5.080000,756.920000,752,758,4,10,6
152,770,5.032680,764.967320,762,766,4,8,4
153,750,4.870130,745.129870,720,746,4,30,26
169,1350,7.941176,1342.058824,1332,1346,4,18,14
178,1350,7.541899,1342.458101,1332,1346,4,18,14
180,1442,7.966851,1434.033149,1434,1438,4,8,4
186,1470,7.860963,1462.139037,1452,1466,4,18,14
196,1350,6.852792,1343.147208,1332,1346,4,18,14
213,1710,7.990654,1702.009346,1692,1706,4,18,14
215,1350,6.250000,1343.750000,1332,1346,4,18,14
216,1350,6.221198,1343.778802,1332,1346,4,18,14
218,1350,6.164384,1343.835616,1332,1346,4,18,14
219,1350,6.136364,1343.863636,1332,1346,4,18,14
220,1350,6.108597,1343.891403,1332,1346,4,18,14
228,1350,5.895197,1344.104803,1332,1346,4,18,14
232,1350,5.793991,1344.206009,1332,1346,4,18,14
233,1350,5.769231,1344.230769,1332,1346,4,18,14
235,1710,7.245763,1702.754237,1692,1706,4,18,14
246,1710,6.923077,1703.076923,1692,1706,4,18,14
261,1350,5.152672,1344.847328,1332,1346,4,18,14
263,1350,5.113636,1344.886364,1332,1346,4,18,14
266,1350,5.056180,1344.943820,1332,1346,4,18,14
267,2046,7.634328,2038.365672,2028,2042,4,18,14
271,1350,4.963235,1345.036765,1332,1346,4,18,14
277,1350,4.856115,1345.143885,1332,1346,4,18,14
282,2046,7.229682,2038.770318,2028,2042,4,18,14
283,1350,4.753521,1345.246479,1332,1346,4,18,14
284,1350,4.736842,1345.263158,1332,1346,4,18,14
285,2638,9.223776,2628.776224,2622,2630,8,16,8
288,2046,7.079585,2038.920415,2028,2042,4,18,14
289,2046,7.055172,2038.944828,2028,2042,4,18,14
290,2638,9.065292,2628.934708,2622,2630,8,16,8
292,2046,6.982935,2039.017065,2028,2042,4,18,14
294,2638,8.942373,2629.057627,2622,2630,8,16,8
297,2638,8.852349,2629.147651,2622,2630,8,16,8
299,1350,4.500000,1345.500000,1332,1346,4,18,14
301,2378,7.874172,2370.125828,2366,2374,4,12,8
305,2046,6.686275,2039.313725,2028,2042,4,18,14
306,2638,8.592834,2629.407166,2622,2630,8,16,8
308,2638,8.537217,2629.462783,2622,2630,8,16,8
309,2638,8.509677,2629.490323,2622,2630,8,16,8
310,2638,8.482315,2629.517685,2622,2630,8,16,8
311,2638,8.455128,2629.544872,2622,2630,8,16,8
313,2638,8.401274,2629.598726,2622,2630,8,16,8
314,2638,8.374603,2629.625397,2622,2630,8,16,8
315,2638,8.348101,2629.651899,2622,2630,8,16,8
316,2638,8.321767,2629.678233,2622,2630,8,16,8
317,2638,8.295597,2629.704403,2622,2630,8,16,8
319,2638,8.243750,2629.756250,2622,2630,8,16,8
321,2046,6.354037,2039.645963,2028,2042,4,18,14
323,2046,6.314815,2039.685185,2028,2042,4,18,14
324,2638,8.116923,2629.883077,2622,2630,8,16,8
325,2638,8.092025,2629.907975,2622,2630,8,16,8
326,2046,6.256881,2039.743119,2028,2042,4,18,14
327,2046,6.237805,2039.762195,2028,2042,4,18,14
329,2046,6.200000,2039.800000,2028,2042,4,18,14
332,2046,6.144144,2039.855856,2028,2042,4,18,14
336,2378,7.056380,2370.943620,2366,2374,4,12,8
338,2378,7.014749,2370.985251,2366,2374,4,12,8
341,2046,5.982456,2040.017544,2028,2042,4,18,14
347,2046,5.879310,2040.120690,2028,2042,4,18,14
353,2046,5.779661,2040.220339,2028,2042,4,18,14
358,2046,5.699164,2040.300836,2028,2042,4,18,14
359,2378,6.605556,2371.394444,2366,2374,4,12,8
361,2046,5.651934,2040.348066,2028,2042,4,18,14
362,2378,6.550964,2371.449036,2366,2374,4,12,8
364,2046,5.605479,2040.394521,2028,2042,4,18,14
367,2378,6.461957,2371.538043,2366,2374,4,12,8
370,2046,5.514825,2040.485175,2028,2042,4,18,14
371,2046,5.500000,2040.500000,2028,2042,4,18,14
378,2046,5.398417,2040.601583,2028,2042,4,18,14
382,2046,5.342037,2040.657963,2028,2042,4,18,14
388,2046,5.259640,2040.740360,2028,2042,4,18,14
391,2046,5.219388,2040.780612,2028,2042,4,18,14
393,2046,5.192893,2040.807107,2028,2042,4,18,14
395,2046,5.166667,2040.833333,2028,2042,4,18,14
396,2378,5.989924,2372.010076,2366,2374,4,12,8
401,2378,5.915423,2372.084577,2366,2374,4,12,8
403,2378,5.886139,2372.113861,2366,2374,4,12,8
408,2378,5.814181,2372.185819,2366,2374,4,12,8
409,2046,4.990244,2041.009756,2028,2042,4,18,14
411,2378,5.771845,2372.228155,2366,2374,4,12,8
415,2046,4.918269,2041.081731,2028,2042,4,18,14
421,2046,4.848341,2041.151659,2028,2042,4,18,14
423,2378,5.608491,2372.391509,2366,2374,4,12,8
425,2378,5.582160,2372.417840,2366,2374,4,12,8
427,2046,4.780374,2041.219626,2028,2042,4,18,14
430,2522,5.851508,2516.148492,2512,2518,4,10,6
434,2046,4.703448,2041.296552,2028,2042,4,18,14
443,2046,4.608108,2041.391892,2028,2042,4,18,14
446,2046,4.577181,2041.422819,2028,2042,4,18,14
453,2378,5.237885,2372.762115,2366,2374,4,12,8
456,2522,5.518600,2516.481400,2512,2518,4,10,6
459,2378,5.169565,2372.830435,2366,2374,4,12,8
463,2046,4.409483,2041.590517,2028,2042,4,18,14
490,2378,4.843177,2373.156823,2366,2374,4,12,8
516,2642,5.110251,2636.889749,2634,2638,4,8,4
523,4618,8.812977,4609.187023,4602,4612,6,16,10
533,4618,8.647940,4609.352060,4602,4612,6,16,10
536,4302,8.011173,4293.988827,4288,4294,8,14,6
539,4618,8.551852,4609.448148,4602,4612,6,16,10
540,4336,8.014787,4327.985213,4324,4328,8,12,4
541,4350,8.025830,4341.974170,4332,4342,8,18,10
553,4618,8.335740,4609.664260,4602,4612,6,16,10
556,4538,8.147217,4529.852783,4522,4534,4,16,12
562,4618,8.202487,4609.797513,4602,4612,6,16,10
563,4618,8.187943,4609.812057,4602,4612,6,16,10
566,4576,8.070547,4567.929453,4536,4568,8,40,32
567,4618,8.130282,4609.869718,4602,4612,6,16,10
569,4618,8.101754,4609.898246,4602,4612,6,16,10
572,4752,8.293194,4743.706806,4736,4744,8,16,8
573,4618,8.045296,4609.954704,4602,4612,6,16,10
574,4618,8.031304,4609.968696,4602,4612,6,16,10
575,4638,8.052083,4629.947917,4608,4630,8,30,22
576,4638,8.038128,4629.961872,4608,4630,8,30,22
579,5162,8.900000,5153.100000,5130,5158,4,32,28
581,4752,8.164948,4743.835052,4736,4744,8,16,8
583,4752,8.136986,4743.863014,4736,4744,8,16,8
585,5162,8.808874,5153.191126,5130,5158,4,32,28
589,4538,7.691525,4530.308475,4522,4534,4,16,12
591,5162,8.719595,5153.280405,5130,5158,4,32,28
594,5162,8.675630,5153.324370,5130,5158,4,32,28
597,5162,8.632107,5153.367893,5130,5158,4,32,28
603,5162,8.546358,5153.453642,5130,5158,4,32,28
605,4864,8.026403,4855.973597,4840,4856,8,24,16
615,4986,8.094156,4977.905844,4950,4978,8,36,28
616,4986,8.081037,4977.918963,4970,4978,8,16,8
618,5162,8.339257,5153.660743,5130,5158,4,32,28
619,4986,8.041935,4977.958065,4970,4978,8,16,8
620,4986,8.028986,4977.971014,4970,4978,8,16,8
621,4986,8.016077,4977.983923,4970,4978,8,16,8
622,4986,8.003210,4977.996790,4976,4978,8,10,2
624,5162,8.259200,5153.740800,5130,5158,4,32,28
628,5042,8.015898,5033.984102,5022,5036,6,20,14
629,5162,8.193651,5153.806349,5130,5158,4,32,28
631,5162,8.167722,5153.832278,5130,5158,4,32,28
632,5162,8.154818,5153.845182,5130,5158,4,32,28
633,5162,8.141956,5153.858044,5130,5158,4,32,28
636,5162,8.103611,5153.896389,5130,5158,4,32,28
637,5162,8.090909,5153.909091,5130,5158,4,32,28
639,5162,8.065625,5153.934375,5130,5158,4,32,28
640,5162,8.053042,5153.946958,5130,5158,4,32,28
641,5162,8.040498,5153.959502,5130,5158,4,32,28
643,5162,8.015528,5153.984472,5130,5158,4,32,28
644,5162,8.003101,5153.996899,5130,5158,4,32,28
645,5162,7.990712,5154.009288,5130,5158,4,32,28
646,5162,7.978362,5154.021638,5130,5158,4,32,28
647,5162,7.966049,5154.033951,5130,5158,4,32,28
648,5162,7.953775,5154.046225,5130,5158,4,32,28
649,5162,7.941538,5154.058462,5130,5158,4,32,28
650,5162,7.929339,5154.070661,5130,5158,4,32,28
651,5162,7.917178,5154.082822,5130,5158,4,32,28
652,5162,7.905054,5154.094946,5130,5158,4,32,28
653,5162,7.892966,5154.107034,5130,5158,4,32,28
654,5162,7.880916,5154.119084,5130,5158,4,32,28
655,5162,7.868902,5154.131098,5130,5158,4,32,28
