m,K,K_over_m,cycle_min,cycle_max,rng_seed,trial_idx
100,816,8.16,804.0,808.0,13084405178522369146,0
100,816,8.16,804.0,808.0,8583743441872547707,1
100,770,7.7,762.0,766.0,10657315015811699817,2
100,415,4.15,400.0,411.0,6060713765376344716,3
100,415,4.15,400.0,411.0,15578126168052307727,4
100,750,7.5,720.0,746.0,18082028223870958188,5
100,415,4.15,400.0,411.0,16712787346870039112,6
100,750,7.5,720.0,746.0,12474387970243130712,7
100,666,6.66,656.0,662.0,6134346030687528054,9
100,770,7.7,762.0,766.0,1826317503628921613,10
100,816,8.16,804.0,808.0,8422120416129323235,11
100,415,4.15,400.0,411.0,12997859814090403786,12
100,750,7.5,720.0,746.0,12401647845990835754,13
100,816,8.16,804.0,808.0,6672891873963127049,14
100,415,4.15,400.0,411.0,16459006183181259582,15
100,816,8.16,804.0,808.0,8970446873250374768,16
100,506,5.06,496.0,502.0,16827147186435397209,17
100,816,8.16,804.0,808.0,584197943454145665,18
100,750,7.5,720.0,746.0,6641782269249373984,19
100,816,8.16,804.0,808.0,17677041862250002166,20
100,816,8.16,804.0,808.0,3107304731104406016,21
100,816,8.16,804.0,808.0,14692513683525600203,22
100,816,8.16,804.0,808.0,18135564964598375882,23
100,816,8.16,804.0,808.0,15391361794978476239,24
100,770,7.7,762.0,766.0,2743365482583629453,25
100,816,8.16,804.0,808.0,13044043208527898157,26
100,816,8.16,804.0,808.0,7811688430760930133,27
100,816,8.16,804.0,808.0,8157785545508133290,29
100,816,8.16,804.0,808.0,2905294640603369028,30
100,770,7.7,762.0,766.0,17519327755891844376,31
100,415,4.15,400.0,411.0,7968578607508369626,32
100,816,8.16,804.0,808.0,15929903033125629513,33
100,762,7.62,752.0,758.0,2822941464232175571,34
100,415,4.15,400.0,411.0,5529010238076983906,35
100,770,7.7,762.0,766.0,16317066111994341509,36
100,816,8.16,804.0,808.0,10090930952824149134,37
100,816,8.16,804.0,808.0,13881505075346535006,38
100,415,4.15,400.0,411.0,12805942627784978106,39
100,816,8.16,804.0,808.0,3104927165233243972,40
100,770,7.7,762.0,766.0,3862266100055660627,41
100,816,8.16,804.0,808.0,15528366856210505902,42
100,816,8.16,804.0,808.0,2436557589102883074,43
100,816,8.16,804.0,808.0,10615145614722594387,44
100,816,8.16,804.0,808.0,2371092793555855185,46
100,750,7.5,720.0,746.0,11288720758931982052,47
100,816,8.16,804.0,808.0,11057858464390046719,48
100,816,8.16,804.0,808.0,11019639136620840377,49
112,770,6.875,762.0,766.0,7761417225882158821,7
112,770,6.875,762.0,766.0,5191820541539890685,11
112,770,6.875,762.0,766.0,17346591584168369585,13
112,770,6.875,762.0,766.0,10422956928963545992,20
112,770,6.875,762.0,766.0,16247036241287098760,23
112,770,6.875,762.0,766.0,6327301625226955586,30
112,770,6.875,762.0,766.0,17503164835052422980,37
112,750,6.696428571428571,720.0,746.0,3060704811286321904,41
112,770,6.875,762.0,766.0,9201569012205078611,44
125,770,6.16,762.0,766.0,5315130271701116919,4
125,962,7.696,950.0,958.0,11133332228857297794,6
125,750,6.0,720.0,746.0,7842472092538456619,9
125,750,6.0,720.0,746.0,7705954933140522872,23
125,770,6.16,762.0,766.0,9010303066223538270,25
127,770,6.062992125984252,762.0,766.0,15573749114184980954,10
127,770,6.062992125984252,762.0,766.0,4020360845646749031,14
127,962,7.574803149606299,950.0,958.0,10979767873101010740,15
127,1010,7.952755905511811,1002.0,1006.0,3506071938593570360,19
127,1010,7.952755905511811,1002.0,1006.0,12420183051057402793,26
127,962,7.574803149606299,950.0,958.0,3657389408726624036,30
127,1010,7.952755905511811,1002.0,1006.0,4625229411158871139,32
127,1010,7.952755905511811,1002.0,1006.0,3515652651654165380,36
127,750,5.905511811023622,720.0,746.0,12785634135215171628,41
140,770,5.5,762.0,766.0,4813013594398221806,41
157,770,4.904458598726115,762.0,766.0,17296161128635784865,12
157,770,4.904458598726115,762.0,766.0,1524597053011388659,18
157,770,4.904458598726115,762.0,766.0,4644578225173144372,21
157,770,4.904458598726115,762.0,766.0,14954079121739515510,27
157,770,4.904458598726115,762.0,766.0,12634007193274013747,39
157,770,4.904458598726115,762.0,766.0,7222154485811085346,44
157,770,4.904458598726115,762.0,766.0,18247144709300128954,46
167,1392,8.335329341317365,1368.0,1384.0,577313399576079187,1
167,1392,8.335329341317365,1368.0,1384.0,1484077772236144088,15
167,770,4.610778443113772,762.0,766.0,12396817773239632218,20
167,1350,8.083832335329342,1332.0,1346.0,16034815243189008489,27
167,1350,8.083832335329342,1332.0,1346.0,12101586941494068603,29
167,1392,8.335329341317365,1368.0,1384.0,14326102358872876176,34
176,1350,7.670454545454546,1332.0,1346.0,7627643128176630982,14
176,1350,7.670454545454546,1332.0,1346.0,4391475854821996709,19
176,1350,7.670454545454546,1332.0,1346.0,13968560859011082290,22
197,1614,8.192893401015228,1584.0,1606.0,7550092275116121158,6
197,1350,6.852791878172589,1332.0,1346.0,7819476903751116222,27
197,1614,8.192893401015228,1584.0,1606.0,9246881313872219218,33
211,1710,8.104265402843602,1692.0,1706.0,46364470176448278,2
211,1350,6.398104265402844,1332.0,1346.0,18392802607816724661,4
211,1810,8.578199052132701,1792.0,1802.0,15769062218930427887,14
211,1810,8.578199052132701,1792.0,1802.0,18100719982058644806,20
211,1810,8.578199052132701,1792.0,1802.0,8300962824446617685,32
220,1350,6.136363636363637,1332.0,1346.0,14088930019009963463,0
220,1350,6.136363636363637,1332.0,1346.0,9031607298505425403,10
220,1710,7.7727272727272725,1692.0,1706.0,628196835379249497,18
220,1350,6.136363636363637,1332.0,1346.0,12440710224083886524,19
220,1350,6.136363636363637,1332.0,1346.0,8437574940253187134,20
220,1350,6.136363636363637,1332.0,1346.0,7075502559652932263,21
220,1350,6.136363636363637,1332.0,1346.0,1914940130751852410,23
220,1710,7.7727272727272725,1692.0,1706.0,10667498902763057781,33
220,1350,6.136363636363637,1332.0,1346.0,4465145671348236678,35
220,1710,7.7727272727272725,1692.0,1706.0,17702102901654154408,36
220,1710,7.7727272727272725,1692.0,1706.0,7758602055727391258,39
220,1350,6.136363636363637,1332.0,1346.0,253110303891696432,41
220,1350,6.136363636363637,1332.0,1346.0,880714187452139764,48
