m,period,distinct_K,distinct_v,K_min,K_max,K_range,K_counter_str
4,6,3,4,18,21,3,18:1;19:4;21:1
5,7,3,5,18,21,3,18:1;19:3;21:3
7,9,3,4,18,21,3,18:1;19:1;21:7
11,13,3,5,38,45,7,38:1;43:7;45:5
13,15,3,5,38,45,7,38:1;43:5;45:9
16,18,3,4,90,98,8,90:3;96:3;98:12
23,25,3,5,162,170,8,162:9;168:1;170:15
30,32,4,7,210,218,8,210:10;212:2;216:1;218:19
31,33,3,5,162,170,8,162:5;168:1;170:27
49,51,3,5,210,218,8,210:2;216:1;218:48
53,55,4,5,426,446,20,426:1;442:52;444:1;446:1
80,82,4,6,472,486,14,472:1;478:1;482:35;486:45
81,83,4,7,558,570,12,558:2;562:27;568:1;570:53
82,84,4,7,558,570,12,558:3;562:25;568:1;570:55
91,93,4,7,558,570,12,558:2;562:22;568:1;570:68
109,111,4,7,830,846,16,830:2;836:1;842:91;846:17
111,113,4,7,830,846,16,830:4;836:1;842:81;846:27
113,115,3,5,926,938,12,926:40;936:1;938:74
118,120,4,6,830,846,16,830:1;836:1;842:86;846:32
122,124,4,6,830,846,16,830:1;836:1;842:82;846:40
124,126,4,6,832,846,14,832:1;838:1;842:81;846:43
125,127,3,4,1016,1038,22,1016:1;1030:1;1038:125
129,131,4,6,830,846,16,830:1;836:1;842:75;846:54
130,132,4,7,830,846,16,830:3;836:1;842:66;846:62
140,142,5,8,830,846,16,830:3;832:2;836:3;842:44;846:90
142,144,4,6,830,846,16,830:1;836:1;842:62;846:80
146,148,4,6,830,846,16,830:1;836:1;842:58;846:88
148,150,4,6,830,846,16,830:1;836:1;842:56;846:92
150,152,4,6,830,846,16,830:1;836:1;842:54;846:96
155,157,4,6,830,846,16,830:1;836:1;842:49;846:106
158,160,3,5,832,846,14,832:1;842:49;846:110
163,165,4,6,830,846,16,830:1;836:1;842:41;846:122
164,166,4,6,830,846,16,830:1;836:1;842:40;846:124
173,175,4,5,1386,1406,20,1386:1;1402:172;1404:1;1406:1
174,176,4,6,1386,1406,20,1386:1;1402:171;1404:1;1406:3
175,177,4,6,1386,1406,20,1386:1;1402:170;1404:1;1406:5
176,178,4,6,1386,1406,20,1386:1;1402:169;1404:1;1406:7
177,179,4,6,1386,1406,20,1386:1;1402:168;1404:1;1406:9
179,181,4,6,1386,1406,20,1386:1;1402:166;1404:1;1406:13
184,186,4,6,1386,1406,20,1386:1;1402:161;1404:1;1406:23
191,193,4,6,1386,1406,20,1386:1;1402:154;1404:1;1406:37
193,195,4,6,1386,1406,20,1386:1;1402:152;1404:1;1406:41
195,197,3,4,1590,1614,24,1590:1;1592:1;1614:195
200,202,4,6,1386,1406,20,1386:1;1402:145;1404:1;1406:55
203,205,4,6,1386,1406,20,1386:1;1402:142;1404:1;1406:61
204,206,4,6,1386,1406,20,1386:1;1402:141;1404:1;1406:63
206,208,4,6,1386,1406,20,1386:1;1402:139;1404:1;1406:67
207,209,4,6,1386,1406,20,1386:1;1402:138;1404:1;1406:69
208,210,4,6,1386,1406,20,1386:1;1402:137;1404:1;1406:71
210,212,4,6,1386,1406,20,1386:1;1402:135;1404:1;1406:75
217,219,4,6,1386,1406,20,1386:1;1402:128;1404:1;1406:89
221,223,4,6,1386,1406,20,1386:1;1402:124;1404:1;1406:97
225,227,4,6,1386,1406,20,1386:1;1402:120;1404:1;1406:105
227,229,4,6,1386,1406,20,1386:1;1402:118;1404:1;1406:109
230,232,4,6,1386,1406,20,1386:1;1402:115;1404:1;1406:115
231,233,4,6,1386,1406,20,1386:1;1402:114;1404:1;1406:117
234,236,4,6,1386,1406,20,1386:1;1402:111;1404:1;1406:123
236,238,4,6,1386,1406,20,1386:1;1402:109;1404:1;1406:127
237,239,4,6,1386,1406,20,1386:1;1402:108;1404:1;1406:129
238,240,4,6,1386,1406,20,1386:1;1402:107;1404:1;1406:131
239,241,4,6,1386,1406,20,1386:1;1402:106;1404:1;1406:133
240,242,4,6,1386,1406,20,1386:1;1402:105;1404:1;1406:135
241,243,4,6,1386,1406,20,1386:1;1402:104;1404:1;1406:137
243,245,4,6,1386,1406,20,1386:1;1402:102;1404:1;1406:141
245,247,4,6,1386,1406,20,1386:1;1402:100;1404:1;1406:145
247,249,4,6,1386,1406,20,1386:1;1402:98;1404:1;1406:149
248,250,4,6,1386,1406,20,1386:1;1402:97;1404:1;1406:151
249,251,4,6,1386,1406,20,1386:1;1402:96;1404:1;1406:153
250,252,4,6,1386,1406,20,1386:1;1402:95;1404:1;1406:155
251,253,4,6,1386,1406,20,1386:1;1402:94;1404:1;1406:157
253,255,4,6,1386,1406,20,1386:1;1402:92;1404:1;1406:161
254,256,4,6,1386,1406,20,1386:1;1402:91;1404:1;1406:163
255,257,4,6,1386,1406,20,1386:1;1402:90;1404:1;1406:165
