metric,anchor,m_bin,n,p5,p50,p95,min,max
cycle_min,m·ln(m),all,1348,0.782199,1.131881,1.602200,0.591054,3.640957
cycle_min,m·H(m),all,1348,0.719746,1.038349,1.422643,0.546728,2.384285
cycle_max,m·ln(m),all,1348,0.797957,1.146814,1.747852,0.644806,4.247783
cycle_max,m·H(m),all,1348,0.734371,1.054557,1.544194,0.592448,2.956513
max_value,m·ln(m),all,1348,1.937891,2.131295,2.529673,1.519198,4.247783
max_value,m·H(m),all,1348,1.777356,1.956856,2.264198,1.387508,3.044172
cycle_min,m·ln(m),"[2,50)",48,1.031467,1.921950,2.877258,0.975906,3.640957
cycle_min,m·ln(m),"[50,100)",50,1.034618,1.484547,1.947957,0.857993,1.995956
cycle_min,m·ln(m),"[100,200)",100,0.982799,1.451647,1.677951,0.788148,1.745864
cycle_min,m·ln(m),"[200,400)",200,0.876541,1.160643,1.494921,0.781492,1.627602
cycle_min,m·ln(m),"[400,600)",200,0.715252,0.935910,1.344723,0.652257,1.427969
cycle_min,m·ln(m),"[600,800)",200,0.684946,1.207903,1.275384,0.617580,1.348175
cycle_min,m·ln(m),"[800,1000)",200,0.869712,1.020823,1.279505,0.759135,1.318489
cycle_min,m·ln(m),"[1000,1200)",200,0.762216,1.145995,1.253328,0.731981,1.270449
cycle_min,m·ln(m),"[1200,1350)",150,0.718749,1.075951,1.123227,0.591054,1.159440
cycle_min,m·H(m),"[2,50)",48,0.862660,1.636179,2.226264,0.771350,2.384285
cycle_min,m·H(m),"[50,100)",50,0.909936,1.303026,1.702068,0.758449,1.739013
cycle_min,m·H(m),"[100,200)",100,0.882283,1.297160,1.491076,0.707722,1.549916
cycle_min,m·H(m),"[200,400)",200,0.795028,1.055830,1.352739,0.709447,1.476380
cycle_min,m·H(m),"[400,600)",200,0.655597,0.854595,1.233028,0.597244,1.309043
cycle_min,m·H(m),"[600,800)",200,0.629231,1.111003,1.171806,0.567904,1.238225
cycle_min,m·H(m),"[800,1000)",200,0.802104,0.940476,1.180596,0.700395,1.216327
cycle_min,m·H(m),"[1000,1200)",200,0.704509,1.058415,1.156790,0.676821,1.172425
cycle_min,m·H(m),"[1200,1350)",150,0.664699,0.995136,1.039120,0.546728,1.072478
cycle_max,m·ln(m),"[2,50)",48,1.270796,2.105489,3.570232,1.064009,4.247783
cycle_max,m·ln(m),"[50,100)",50,1.076405,1.524188,2.151983,0.892419,2.217230
cycle_max,m·ln(m),"[100,200)",100,1.013745,1.499867,1.734381,0.810701,1.776375
cycle_max,m·ln(m),"[200,400)",200,0.884790,1.169538,1.502640,0.789706,1.632568
cycle_max,m·ln(m),"[400,600)",200,0.742662,0.948009,1.359626,0.692646,2.077759
cycle_max,m·ln(m),"[600,800)",200,1.105394,1.227368,1.325246,0.644806,2.198588
cycle_max,m·ln(m),"[800,1000)",200,0.872452,1.026772,1.285693,0.763279,1.321783
cycle_max,m·ln(m),"[1000,1200)",200,0.765653,1.152395,1.259585,0.735281,1.276812
cycle_max,m·ln(m),"[1200,1350)",150,0.796039,1.081288,1.180539,0.671585,2.127052
cycle_max,m·H(m),"[2,50)",48,1.042463,1.732847,2.484305,0.917368,2.956513
cycle_max,m·H(m),"[50,100)",50,0.946701,1.329551,1.883440,0.788880,1.940852
cycle_max,m·H(m),"[100,200)",100,0.910075,1.336789,1.542484,0.727973,1.577791
cycle_max,m·H(m),"[200,400)",200,0.803482,1.062291,1.364121,0.716903,1.480885
cycle_max,m·H(m),"[400,600)",200,0.680471,0.865590,1.245931,0.635188,1.902514
cycle_max,m·H(m),"[600,800)",200,1.015533,1.127947,1.218433,0.592448,2.021710
cycle_max,m·H(m),"[800,1000)",200,0.804172,0.946316,1.185682,0.704218,1.219365
cycle_max,m·H(m),"[1000,1200)",200,0.707685,1.064770,1.162541,0.679872,1.178283
cycle_max,m·H(m),"[1200,1350)",150,0.736818,1.000412,1.092099,0.621497,1.967567
max_value,m·ln(m),"[2,50)",48,2.115103,2.912180,3.636140,1.695635,4.247783
max_value,m·ln(m),"[50,100)",50,2.037872,2.439884,2.767390,1.948231,2.998851
max_value,m·ln(m),"[100,200)",100,2.032805,2.341983,2.540608,1.765052,2.580880
max_value,m·ln(m),"[200,400)",200,1.923521,2.315357,2.488481,1.682530,2.693515
max_value,m·ln(m),"[400,600)",200,1.893809,2.082148,2.249050,1.519198,2.349989
max_value,m·ln(m),"[600,800)",200,2.017833,2.130463,2.220636,1.880806,2.323418
max_value,m·ln(m),"[800,1000)",200,2.049177,2.168149,2.254925,1.860097,2.334895
max_value,m·ln(m),"[1000,1200)",200,1.942608,2.053249,2.168304,1.833169,2.284958
max_value,m·ln(m),"[1200,1350)",150,1.900510,2.018452,2.134594,1.851447,2.240565
max_value,m·H(m),"[2,50)",48,1.665085,2.437751,2.966103,1.453795,3.044172
max_value,m·H(m),"[50,100)",50,1.786279,2.155232,2.440775,1.724849,2.617697
max_value,m·H(m),"[100,200)",100,1.829149,2.098993,2.274117,1.584137,2.300035
max_value,m·H(m),"[200,400)",200,1.748852,2.098424,2.261054,1.530789,2.443544
max_value,m·H(m),"[400,600)",200,1.734049,1.904908,2.057478,1.387508,2.154760
max_value,m·H(m),"[600,800)",200,1.853940,1.957509,2.043716,1.725380,2.136426
max_value,m·H(m),"[800,1000)",200,1.890696,1.998843,2.078878,1.712776,2.149310
max_value,m·H(m),"[1000,1200)",200,1.794861,1.895883,2.004377,1.693256,2.108633
max_value,m·H(m),"[1200,1350)",150,1.759113,1.868352,1.974391,1.712915,2.072160
