m,M_star,tau_at_M_star,m_times_tau_at_M_star,slack
1,2,2,2,0
2,12,6,12,0
3,24,8,24,0
4,36,9,36,0
5,60,12,60,0
6,72,12,72,0
7,84,12,84,0
8,120,16,128,8
9,120,16,144,24
10,180,18,180,0
11,180,18,198,18
12,240,20,240,0
13,240,20,260,20
14,252,18,252,0
15,360,24,360,0
16,360,24,384,24
17,360,24,408,48
18,420,24,432,12
19,420,24,456,36
20,480,24,480,0
21,504,24,504,0
22,504,24,528,24
23,540,24,552,12
24,720,30,720,0
25,720,30,750,30
26,720,30,780,60
27,840,32,864,24
28,840,32,896,56
29,840,32,928,88
30,840,32,960,120
31,840,32,992,152
32,840,32,1024,184
33,840,32,1056,216
34,1080,32,1088,8
35,1260,36,1260,0
36,1260,36,1296,36
37,1260,36,1332,72
38,1260,36,1368,108
39,1260,36,1404,144
40,1440,36,1440,0
41,1440,36,1476,36
42,1680,40,1680,0
43,1680,40,1720,40
44,1680,40,1760,80
45,1680,40,1800,120
46,1680,40,1840,160
47,1680,40,1880,200
48,1680,40,1920,240
49,1680,40,1960,280
50,1800,36,1800,0
51,1800,36,1836,36
52,1800,36,1872,72
53,2520,48,2544,24
54,2520,48,2592,72
55,2520,48,2640,120
56,2520,48,2688,168
57,2520,48,2736,216
58,2520,48,2784,264
59,2520,48,2832,312
60,2520,48,2880,360
61,2520,48,2928,408
62,2520,48,2976,456
63,2520,48,3024,504
64,2520,48,3072,552
65,2520,48,3120,600
66,2640,40,2640,0
67,2640,40,2680,40
68,2640,40,2720,80
69,2880,42,2898,18
70,3360,48,3360,0
71,3360,48,3408,48
72,3360,48,3456,96
73,3360,48,3504,144
74,3360,48,3552,192
75,3360,48,3600,240
76,3360,48,3648,288
77,3360,48,3696,336
78,3360,48,3744,384
79,3780,48,3792,12
80,3780,48,3840,60
81,3780,48,3888,108
82,3780,48,3936,156
83,3960,48,3984,24
84,5040,60,5040,0
85,5040,60,5100,60
86,5040,60,5160,120
87,5040,60,5220,180
88,5040,60,5280,240
89,5040,60,5340,300
90,5040,60,5400,360
91,5040,60,5460,420
92,5040,60,5520,480
93,5040,60,5580,540
94,5040,60,5640,600
95,5040,60,5700,660
96,5040,60,5760,720
97,5040,60,5820,780
98,5040,60,5880,840
99,5040,60,5940,900
100,5040,60,6000,960
101,5040,60,6060,1020
102,5040,60,6120,1080
103,5040,60,6180,1140
104,5040,60,6240,1200
105,5040,60,6300,1260
106,5040,60,6360,1320
107,5040,60,6420,1380
108,5040,60,6480,1440
109,5040,60,6540,1500
110,5280,48,5280,0
111,5280,48,5328,48
112,5280,48,5376,96
113,5400,48,5424,24
114,5460,48,5472,12
115,5460,48,5520,60
116,5544,48,5568,24
117,6300,54,6318,18
118,6300,54,6372,72
119,7560,64,7616,56
120,7560,64,7680,120
121,7560,64,7744,184
122,7560,64,7808,248
123,7560,64,7872,312
124,7560,64,7936,376
125,7560,64,8000,440
126,7560,64,8064,504
127,7560,64,8128,568
128,7560,64,8192,632
129,7560,64,8256,696
130,7560,64,8320,760
131,7560,64,8384,824
132,7920,60,7920,0
133,7920,60,7980,60
134,7920,60,8040,120
135,7920,60,8100,180
136,7920,60,8160,240
137,7920,60,8220,300
138,7920,60,8280,360
139,7920,60,8340,420
140,10080,72,10080,0
141,10080,72,10152,72
142,10080,72,10224,144
143,10080,72,10296,216
144,10080,72,10368,288
145,10080,72,10440,360
146,10080,72,10512,432
147,10080,72,10584,504
148,10080,72,10656,576
149,10080,72,10728,648
150,10080,72,10800,720
151,10080,72,10872,792
152,10080,72,10944,864
153,10080,72,11016,936
154,10080,72,11088,1008
155,10080,72,11160,1080
156,10080,72,11232,1152
157,10080,72,11304,1224
158,10080,72,11376,1296
159,10080,72,11448,1368
160,10080,72,11520,1440
161,10080,72,11592,1512
162,10080,72,11664,1584
163,10080,72,11736,1656
164,10080,72,11808,1728
165,10080,72,11880,1800
166,10080,72,11952,1872
167,10080,72,12024,1944
168,10080,72,12096,2016
169,10080,72,12168,2088
170,10080,72,12240,2160
171,10920,64,10944,24
172,10920,64,11008,88
173,10920,64,11072,152
174,10920,64,11136,216
175,12600,72,12600,0
176,12600,72,12672,72
177,12600,72,12744,144
178,12600,72,12816,216
