m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
1, 2, 1, 1, 1, 1, 1, 1
2, 9, 5, 5, 3, 5, 4, 2
3, 24, 14, 14, 4, 14, 12, 2
4, 23, 19, 15, 6, 17, 14, 4
5, 35, 19, 15, 7, 19, 14, 5
6, 32, 34, 32, 7, 34, 30, 3
7, 75, 43, 19, 9, 19, 14, 4
8, 114, 43, 41, 38, 43, 22, 12
9, 81, 43, 41, 12, 43, 24, 8
10, 241, 82, 70, 185, 82, 66, 8
11, 95, 69, 39, 13, 43, 34, 5
12, 298, 94, 74, 219, 82, 66, 8
13, 200, 118, 43, 15, 43, 34, 5
14, 759, 118, 82, 253, 82, 66, 8
15, 103, 118, 114, 16, 118, 112, 4
16, 481, 128, 94, 18, 94, 84, 4
17, 169, 178, 114, 18, 118, 112, 4
18, 1129, 190, 150, 120, 186, 150, 14
19, 669, 194, 82, 40, 82, 76, 4
20, 312, 194, 118, 21, 118, 114, 3
21, 241, 157, 118, 22, 118, 112, 3
22, 969, 194, 166, 144, 186, 150, 14
23, 1760, 218, 166, 25, 166, 150, 5
24, 371, 206, 190, 101, 206, 180, 10
25, 1064, 262, 190, 445, 206, 180, 10
26, 3068, 302, 190, 82, 206, 184, 9
27, 5308, 282, 174, 56, 178, 172, 4
28, 1172, 278, 190, 88, 206, 184, 9
29, 5360, 294, 166, 433, 186, 150, 14
30, 1932, 302, 214, 32, 214, 198, 7
31, 856, 265, 166, 33, 166, 150, 5
32, 9746, 358, 194, 100, 206, 184, 9
33, 1440, 215, 194, 581, 206, 180, 10
34, 789, 262, 194, 106, 206, 184, 9
35, 449, 211, 155, 36, 157, 144, 4
36, 3597, 358, 294, 37, 302, 288, 3
37, 861, 326, 314, 38, 314, 300, 4
38, 3799, 414, 178, 78, 178, 172, 4
39, 3591, 411, 302, 40, 302, 288, 3
40, 392, 319, 155, 41, 157, 144, 4
41, 2078, 472, 314, 42, 314, 300, 4
42, 3467, 458, 314, 43, 314, 300, 4
43, 8117, 454, 314, 44, 314, 300, 4
44, 2659, 484, 350, 45, 358, 350, 4
45, 322, 358, 350, 46, 358, 350, 4
46, 2456, 502, 314, 47, 314, 300, 3
47, 2974, 478, 358, 48, 358, 350, 4
48, 1920, 524, 354, 49, 358, 350, 4
49, 1530, 502, 214, 51, 214, 198, 5
50, 444, 419, 354, 51, 358, 350, 4
51, 2061, 574, 354, 52, 358, 350, 4
52, 2813, 491, 314, 53, 314, 300, 4
53, 2319, 508, 434, 55, 438, 420, 5
54, 5776, 579, 430, 277, 470, 418, 23
55, 5696, 591, 434, 116, 474, 434, 15
56, 3570, 676, 314, 57, 314, 300, 4
57, 3118, 496, 358, 58, 358, 350, 4
58, 1727, 593, 358, 59, 358, 350, 4
59, 1958, 485, 314, 60, 314, 300, 4
60, 3664, 656, 358, 61, 358, 350, 4
61, 7426, 602, 498, 3532, 556, 490, 20
