m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
1000, 4321033596, 14954, 6234, 1001, 6238, 6210, 4
1001, 1395424719, 15802, 8822, 2010, 8830, 8786, 11
1002, 1617013374, 14684, 8826, 2011, 8830, 8786, 11
1003, 692958858, 15114, 8822, 1005, 8828, 8806, 7
1004, 4631524166, 15578, 8822, 1006, 8828, 8806, 7
1005, 468420365, 14447, 8826, 2018, 8830, 8786, 11
1006, 4105491238, 14578, 8822, 1008, 8828, 8806, 7
1007, 42472364, 13614, 6234, 1008, 6238, 6210, 4
1008, 5649808250, 14893, 6214, 1009, 6218, 6192, 3
1009, 5684326578, 14920, 8826, 2026, 8830, 8786, 11
1010, 25365521, 13220, 8822, 1012, 8828, 8806, 7
1011, 1176048607, 15391, 8826, 2030, 8830, 8786, 11
1012, 294047389, 14386, 8826, 2031, 8830, 8786, 11
1013, 101479362, 14930, 8826, 2033, 8830, 8786, 11
1014, 150334482, 14218, 8826, 2036, 8830, 8786, 11
1015, 266556536, 13924, 8822, 1017, 8828, 8806, 7
1016, 1076662808, 14457, 6234, 1017, 6238, 6210, 4
1017, 2824435442, 15112, 8826, 2042, 8830, 8786, 11
1018, 2826841478, 15398, 8826, 2044, 8830, 8786, 11
1019, 5588488, 14253, 8826, 2046, 8830, 8786, 11
1020, 579457084, 14266, 8826, 2047, 8830, 8786, 11
1021, 3213998752, 14702, 6214, 1022, 6218, 6192, 3
1022, 365822735, 14854, 8822, 1024, 8828, 8806, 7
1023, 401075717, 14318, 8822, 1025, 8828, 8806, 7
1024, 335041021, 14869, 8822, 1026, 8828, 8806, 7
1025, 632297233, 14202, 8822, 1027, 8828, 8806, 7
1026, 526962314, 14447, 8826, 2060, 8830, 8786, 11
1027, 3255006539, 14900, 8826, 2061, 8830, 8786, 11
1028, 35203276, 13990, 8826, 2063, 8830, 8786, 11
1029, 216840927, 14570, 6238, 1030, 6238, 6210, 4
1030, 1183185007, 14822, 8826, 2068, 8830, 8786, 11
1031, 4608652, 13620, 6238, 1032, 6238, 6210, 4
1032, 917322773, 14838, 8826, 2072, 8830, 8786, 11
1033, 607358905, 14614, 8822, 1035, 8828, 8806, 7
1034, 533073942, 14702, 8826, 2076, 8830, 8786, 11
1035, 2599537533, 15730, 8822, 1037, 8828, 8806, 7
1036, 496999947, 15258, 8822, 1038, 8828, 8806, 7
1037, 24574228, 13939, 6238, 1038, 6238, 6210, 4
1038, 2579741414, 15130, 8822, 1040, 8828, 8806, 7
1039, 1635106513, 15122, 8826, 2085, 8830, 8786, 11
1040, 63705885, 13966, 6238, 1041, 6238, 6210, 4
1041, 929959751, 14866, 8826, 2089, 8830, 8786, 11
1042, 997671606, 14868, 8822, 1044, 8828, 8806, 7
1043, 111744479, 14116, 8826, 2093, 8830, 8786, 11
1044, 722125011, 14548, 8826, 2096, 8830, 8786, 11
1045, 547483225, 14862, 8822, 1047, 8828, 8806, 7
1046, 200991955, 14491, 8822, 1048, 8828, 8806, 7
1047, 559508096, 14538, 8822, 1049, 8828, 8806, 7
1048, 634642735, 15018, 8826, 2104, 8830, 8786, 11
1049, 141269454, 14457, 8826, 2105, 8830, 8786, 11
1050, 491538864, 14842, 8822, 1052, 8828, 8806, 7
1051, 122103306, 14836, 8826, 2110, 8830, 8786, 11
1052, 333600135, 15238, 8822, 1054, 8828, 8806, 7
1053, 1084504609, 14966, 8826, 2114, 8830, 8786, 11
1054, 328383153, 14822, 8822, 1056, 8828, 8806, 7
1055, 617922266, 14738, 8826, 2117, 8830, 8786, 11
1056, 599917058, 15086, 8826, 2119, 8830, 8786, 11
1057, 57832625, 14298, 8822, 1059, 8828, 8806, 7
1058, 34705522, 13982, 8826, 2123, 8830, 8786, 11
1059, 328650027, 15396, 8822, 1061, 8828, 8806, 7
1060, 155353770, 15050, 8498, 2125, 8534, 8474, 12
1061, 1102710823, 15278, 8826, 2130, 8830, 8786, 11
1062, 214074865, 14871, 8530, 17045, 8578, 8480, 39
1063, 211712812, 15102, 8498, 2129, 8530, 8494, 9
1064, 1163100974, 15593, 8826, 2135, 8830, 8786, 11
1065, 28399113, 15242, 6218, 1066, 6218, 6192, 3
1066, 100498709, 15146, 8534, 5339, 8572, 8514, 20
1067, 341124142, 15391, 8822, 1069, 8828, 8806, 7
1068, 51707302, 15330, 8570, 1071, 8574, 8540, 7
1069, 159519796, 15034, 8826, 2146, 8830, 8786, 11
1070, 365838719, 15122, 8822, 1072, 8828, 8806, 7
1071, 257619837, 15306, 8562, 1072, 8566, 8554, 4
1072, 997452914, 15430, 8826, 2152, 8830, 8786, 11
1073, 127949724, 15467, 8822, 1075, 8828, 8806, 7
1074, 726558187, 15138, 8634, 1077, 8634, 8608, 8
1075, 41447204, 14622, 8630, 4305, 8654, 8604, 12
1076, 937291127, 15391, 6238, 1077, 6238, 6210, 4
1077, 196457691, 14780, 8826, 2162, 8830, 8786, 11
1078, 365984771, 15116, 8826, 2164, 8830, 8786, 11
1079, 41271712, 14302, 8826, 2165, 8830, 8786, 11
1080, 705379247, 15508, 8826, 2168, 8830, 8786, 11
1081, 439558614, 15422, 8822, 1083, 8828, 8806, 7
1082, 307076279, 14836, 8718, 65037, 8830, 8626, 91
